,review,target,dp,dp_clause
0,"i have had the phone for 1 week , the signal-quality has been great in the detroit-area ( suburbs ) and in my recent road-trip between detroit and northern kentucky ( cincinnati ) i experienced perfect signal and reception along i-75 , far superior to at &#38; t 's which does not work along several long stretches on that same route . ",signal quality!+,signal-quality!great|reception!perfect|road-trip!recent|detroit!recent|kentucky!detroit|signal!signal-quality|i-75!superior|route!several|cincinnati!detroit,signal-quality!great|reception!perfect|road-trip!recent|detroit!recent|signal!reception|road-trip!signal-quality|i-75!superior|route!several|kentucky!detroit|i-75!signal-quality|cincinnati!northern|cincinnati!detroit
1,"i have owned motorola , panasonic and nokia phones over the last 8 years and generally prefer nokia , this phone combines many of the best nokia features , the only feature missing for me is the voice-recognition . ",,nokia!prefer|motorola!prefer|feature!only|phone!many|panasonic!motorola|voice-recognition!phone,nokia!prefer|motorola!prefer|feature!only|phone!many|panasonic!motorola|voice-recognition!many|voice-recognition!phone
2,"the speaker-phone is very functional and i use it in the car , very audible even with freeway-noise . ",speaker phone!+,|speaker-phone!functional,speaker-phone!functional
3,"the infrared is a blessing if you have a previous nokia and want to transfer your old phone-book to this phone , saved me hours of re-entering my numbers . ",infrared!+,|phone-book!old|blessing!nokia|phone!phone-book,phone-book!old|nokia!previous|phone!phone-book|blessing!nokia|blessing!nokia
4,the day finally arrived when i was sure i 'd leave sprint . ,sprint!-,,day!sure
5,"after years with that carrier 's expensive plans and horrible customer-service , portability seemed heaven-sent . ",sprint plan!-,carrier!expensive,portability!horrible|carrier!expensive
6,"here 's the brief synopsis : the phone is tiny , cute , feels kind of "" plastic-like "" ( as if it might break ) , but seems pretty sturdy . ",size!+|sturdy!+,|phone!tiny,phone!tiny|kind!cute
7,"it has lots of little cute features , my favorite being the games and the pim ( personal information-manager -- i.e. organizer ) , and the radio ! ",game!+,pim!favorite|radio!favorite,organizer!favorite|manager!personal|pim!favorite|radio!favorite|radio!pim|information!personal
8,"the phone comes with okay ringtones , some decent backgrounds / screensavers , but the phone has very little memory ( mine had 230kb as it arrived from amazon , so you do n't have too many options on what you can put on there ) . ",ringtone!+,|memory!little|phone!memory,amazon!many|memory!little|phone!memory
9,"the buttons on the phone are small , even for my small fingertips , but you get used to them rather quickly . ",button!-,|phone!small,phone!small
10,i have excellent hearing but the volume-level on this phone is especially quiet . ,volume!-,hearing!quiet|volume-level!quiet|phone!hearing,volume-level!quiet|phone!quiet|hearing!excellent
11,forget talking on it in public -- you just can 't hear the other person ! ,,|person!other|t!person,person!other|t!person
12,"on the up-side , the phone has amazing battery-life . ",battery life!+,battery-life!amazing|up-side!battery-life|phone!battery-life,battery-life!amazing|up-side!battery-life|up-side!battery-life|phone!battery-life|phone!battery-life
13,"i assumed they had exceptional service , but their reception in my area ( los angeles ) is horrendous . ",t-mobile reception!-,service!exceptional|area!horrendous|reception!horrendous,reception!horrendous|service!exceptional|area!horrendous
14,"also , their t-zones , although cheap ( $ 4.99 / mo. ) never works . ",t-zone!-,,mo.!cheap
15,"this one csr insisted on trying to get me to say that he 'd answered all my questions ( same interaction as i just described ) , and well .. . ",,|interaction!same,interaction!same
16,"i 'm staying with sprint , and though i fear that their csr is n't nearly as good as t-mobile 's , the clarity of their reception is exceptional . ",sprint!+,csr!good|reception!exceptional|clarity!exceptional|t-mobile!csr,clarity!exceptional|reception!exceptional|csr!good|t-mobile!csr
17,it was worth a shot -- too bad it did n't work out . ,,shot!bad|shot!work,|shot!bad|shot!work
18,i bought one of these phones in kuwait to use with the mtc prepaid telephone-service-ez because i would be able to use it when i return to the states with t-mobile . ,,|return!able,return!able
19,i highly recommend a nokia 6610 . ,nokia!+,,nokia!recommend
20,no other color-phone has the combination of features that the 6610 offers . ,feature!+,|color-phone!other|combination!color-phone,color-phone!other|combination!color-phone
21,"from the speakerphone that can be used up to 15 feet away with clarity , to the downloadable poly-graphic megatones that adds a personal touch to this nifty phone . ",speakerphone!+,phone!nifty,touch!personal|phone!nifty|phone!touch
22,"wish it were a flip phone , but thats not a deal-breaker ! ",,|phone!flip|wish!flip|deal-breaker!phone,|phone!flip|wish!flip|deal-breaker!flip|deal-breaker!phone
23,the more subtle tones that were included with the phone are hard to hear at times . ,tone!-,,phone!subtle
24,"it is a teeny phone , so it is hard to put a big mechanism in . ",,phone!hard|mechanism!big,mechanism!big|phone!teeny|phone!hard
25,"i do n't use the vibration , because it is often easier to hear it vibrate then to feel it . ",,,vibration!vibration
26,"great battery-life , perfect size , but a tid-bit quieter than i would like . ",battery life!+,size!perfect|size!great,size!great|tid-bit!great
27,"that is a major minus , but its not that bad . ",,|minus!major,minus!major
28,we got two phones for the t-mobile-family-plan ( indeed very easy to switch to the family-plan ) and one came with a broken headphone ( can hear but cannot be heard ) and one died today after less than two weeks of use . ,phone!-,headphone!broken,use!died|headphone!broken
29,"so i spent half an hour on the phone with tech-support , only to have the online tech-person pull one off the shelf and tell me he had the same problem . ",,,tech-person!online|shelf!tech-person
30,"i returned to the store , whereupon the clerk insisted that he could make it work ; he could n't . ",,,clerk!work|whereupon!clerk|store!whereupon
31,"while i had the phone , the positive features were : good sound quality and an excellent fm-phone and earpiece . ",sound quality!+|fm!+|earpiece!+,quality!good|quality!positive|fm-phone!excellent|fm-phone!good|earpiece!fm-phone|earpiece!quality,quality!good|quality!positive|fm-phone!excellent|fm-phone!good|fm-phone!quality|earpiece!quality
32,"the two biggest things is the excellent working speakerphone "" unlike the nokia 3650 "" and the superb reception-nokia is known for in the gsm phones they make ... ",speakerphone!+|reception!+,speakerphone!excellent|reception-nokia!superb|reception-nokia!nokia,reception-nokia!superb|nokia!superb|speakerphone!excellent|speakerphone!nokia|speakerphone!nokia
33,no big deal for the size . . ,,|deal!big|size!big,deal!big|size!big
34,"anything this phone does , it does perfectly . ",phone!+,,anything!perfectly
35,you can adjust the volume to be heard anywhere or so that it does n't make that big of a disturbance . ,volume!+,,volume!big
36,the person on the other end of the call can hear you perfectly . ,speakerphone!+,|end!other|person!other|call!other,end!other|person!other|call!other
37,"only one complaint about the speakerphone , you can only activate the speakerphone-feature once the person you are calling answers the phone , not while it is ringing . ",speakerphone!-,,phone!only
38,"this radio receives fairly decent reception but not nearly as good as a normal radio , but as long as the stations are coming in clearly the phone 's radio should work perfectly . ",radio!+,reception!decent|radio!normal|phone!normal,reception!decent|radio!normal|phone!normal|radio!reception
39,"one highly beneficial feature of this phone ( at least to me ) is that it can be used anywhere in the world except a few countries that do not use gsm , a few in asia . ",feature,feature!beneficial|phone!beneficial,gsm!few|feature!beneficial|phone!beneficial
40,i bought this phone for my trip to south africa and it worked almost perfectly . ,phone!+,,phone!worked|trip!phone
41,the only problem i had was a small glitch with t-mobile . ,t-mobile!-,,problem!glitch
42,anywhere i went in south africa this phone received full bar-reception . ,reception!+,|bar-reception!full|phone!bar-reception,bar-reception!full|phone!bar-reception
43,sold in other parts of the world : ,,|world!other,world!other
44,another benefit of this phone is that it is truly an international phone ; the 6610 is sold in almost everywhere in the world . ,phone!+,phone!benefit|benefit!international,benefit!benefit|phone!international|phone!benefit|phone!benefit
45,this means that there is a good chance that this phone will not break easily like typical american phones . ,phone!+,chance!good|phone!break,phone!break|chance!good
46,"or on the rare occasion it does you can bring it into any t-mobile store , which are located in many countries in europe . ",,|store!t-mobile|europe!many,europe!many|store!t-mobile
47,i cannot stress enough how big of a benefit it is to have a european phone and a european company providing your cell-phone-service . ,,|phone!european|company!european,benefit!big|phone!european|company!european
48,you would then have a phone-number in that country and not have to pay for international roaming in that country . ,,|roaming!international,roaming!international
49,"when you put this phone in your pocket you forget it is there ; it is unbelievably small and oh , so light . ",size!+,,phone!unbelievably|pocket!phone
50,"this is a benefit for many reasons ; one being just for appearance , your pants wo n't be bulging with this phone in your pocket . ",size!+,phone!benefit|benefit!many,benefit!many|phone!benefit|phone!benefit
51,it is amazing that the battery lasts so long when the phone is so small and light . ,battery!+,|phone!small,phone!small
52,"this phone has many other features , ir , ; just to name one , the features above i view as the most beneficial . ",phone!+,|ir!many|view!many,view!many|ir!many
53,"the phone has a few minor inconveniences , but only because it lacks those features , bluetooth and high spend internet , but there are very few problems with things that you expected this phone to do . ",bluetooth!-,bluetooth!lacks,bluetooth!high|phone!minor
54,size - extremely small and convenient will fit in your pocket and not bother you . ,size!+,|size!small|pocket!small,size!small|pocket!small
55,"sound - excellent polyphonic ringing tones are very nice ( check cons ) it also doubles as a radio , which is a nice feature when you are bored . ",ringing tone!+,feature!nice|ringing!nice|radio!nice|sound!feature,ringing!cons|feature!nice|radio!nice|sound!feature
56,"surfing the web on it is nice as well , i just wish there were more wap pages available . ",web!+,web!nice|wap!available,wap!available|web!nice
57,"ring tones only come with crazy songs and annoying rings , there is only one ring that sounds close to a regular ring . ",ring tone!-,|ring!regular,ring!regular
58,the screen is easily scratched but if you have the warranty you should be able to swap it out . ,screen!-,,warranty!able
59,games kind of stink and you cant download them you have to get the link-cable to get additional games . ,game!-,,kind!stink
60,buttons do seem a little sticky tho .. and the hands free kits ' connector might be a problem .. ,button!-,tho!sticky,tho!little
61,"perhaps there is a tone of irony in the title of my review , but i actually mean it in earnest . ",,,tone!irony
62,after having had my heart broken by a sexy piece of hardware that simply would n't perform . ,,heart!broken|hardware!sexy|piece!sexy,heart!broken|hardware!sexy|piece!sexy|piece!heart
63,"although the nokia 6610 is a little short on the features department , it is an outstanding piece of hardware for doing what it was primarily meant to do : to be a wireless telephone . ",wireless telephone!+,piece!outstanding|hardware!outstanding|telephone!outstanding,nokia!short|piece!outstanding|hardware!outstanding|telephone!outstanding
64,"i can routinely talk on the phone in my house in the suburbs , which is an unaccustomed luxury , even with t-mobile service . ",,|service!t-mobile|luxury!t-mobile,phone!unaccustomed|service!t-mobile|luxury!t-mobile
65,i like the size and weight of this little critter . ,size!+,|critter!little|size!little|weight!size,critter!little|size!little|weight!size
66,"the keys are close together , and the layout is a bit funky in relation to standard rectangular layout keypads , but it 's not too weird . ",layout!-,layout!funky|bit!layout|relation!standard,layout!funky|relation!standard|bit!layout
67,"the fact that the "" 0 "" key is the space-key for text-input is a bit confusing , as many phones use the "" # "" key instead . ",key!-,fact!confusing|space-key!confusing|bit!fact|text-input!key,fact!confusing|space-key!key|text-input!key|bit!fact
68,"the screen is bright , easy to see in the daylight , with nice colors . ",screen!+,screen!bright,screen!bright|daylight!nice
69,it receives very nice mms pictures from other gsm phones . ,picture!+,|gsm!other,gsm!other
70,there are some features in the user-interface that i find a little inconvenient . ,user interface!-,,user-interface!little
71,"the menu options appear one at a time , taking up the whole screen , and one has to scroll down one by one , or have memorized where they are in the menu-order , to select them by using the number-keypad . ",menu option!-,|screen!whole,screen!whole
72,"which was a good thing , because i realized i had forgotten my phone ... ",,thing!good,thing!good|thing!good
73,other things that i miss are voice-activated dialing and a standard 2.5 mm-headset-jack . ,voice dialing!-,|dialing!other|mm-headset-jack!dialing,dialing!other|mm-headset-jack!standard|mm-headset-jack!voice-activated|mm-headset-jack!dialing
74,"i 'd like a camera-phone , but i 'd rather have a phone than a toy that takes pictures but makes no calls ... ",,camera-phone!like,|camera-phone!like
75,i thought it would be haggard but when i be gotted this junky i was mad happy and stuff . ,,,haggard!haggard
76,it allows me to place the phone on the table while talking and working on my computer or other jobs . ,,|computer!other,computer!other
77,i like the automatic key lock-function . ,key lock!+,|lock-function!automatic,lock-function!key
78,the phone is very light weight . ,weight!+,|weight!light|phone!light,weight!light|phone!light
79,the screen is bright and ring tones are unlimited . ,screen!+|ring tone!+,screen!bright|ring!unlimited,ring!unlimited|screen!bright
80,"while going for a cellphone , i was fully determined to buy a nokia only as it is the best in cellphones . ",nokia!+,,nokia!only
81,"its speakerphone-option allows us to do long talks conveniently , lying on bed &#38; phone lying by your pillowside . ",speakerphone!+,,speakerphone-option!long
82,i am enjoying my phone a lot .... ,phone!+,,phone!enjoying|lot!enjoying
83,small size . ,size!+,|size!small,size!small
84,it has lots of features such as the calendar which works like my outlook-calendar . ,calendar!+,,calendar!such
85,"navigating through the menus is super easy , especially if you have owned a previous model-nokia-phone . ",menu!+,|model-nokia-phone!previous,model-nokia-phone!previous
86,"the volume-key can be hard to press , but i think this may be by design rather than a flaw , perhaps to keep you from pressing it accidentally when you are in a call . ",volume key!-,volume-key!hard|press!volume-key,call!flaw|volume-key!hard|press!volume-key
87,is this how nokia subsidizes their free pc-software ? ,,nokia!subsidizes|pc-software!subsidizes,nokia!subsidizes|pc-software!subsidizes|pc-software!nokia
88,first of all i have been a big nokia-fan and have been upgrading my cell phones about once a year ( right after the release-contract is over ) . ,,,release-contract!first|right!release-contract
89,my last phone was a samsung s105 which imo is superior and cheaper to this phone . ,,imo!superior|phone!last|s105!last,imo!superior|phone!last|s105!last|s105!imo
90,sound quality : ,,|quality!sound,quality!sound
91,"i think the sound quality of this phone is slightly better than my samsung phone , the motorolla-t720-series , and the sony-ericsson-t610 series . ",,quality!better|phone!better|series!sony-ericsson-t610|series!samsung,quality!better|phone!better|series!samsung|series!phone
92,overall design : ,,|design!overall,design!overall
93,as much as i like nokia phones the flip phones imo are much better because a ) you wont scratch your screens / keys b ) you dont need to lock your phone all the time to prevent accidently hitting the keys . ,,imo!better,need!like|imo!better|scratch!need
94,the samsung phones has a customize-function so that you can assign certain functions to directional buttons ( like assign alarm-clock to the left directional key ) . ,,|key!left,customize-function!samsung
95,"the nokia , samsung and the sony phones can all last for 3 days provided you do n't talk too much . ",,|nokia!last|samsung!last|sony!nokia,samsung!last|nokia!last|sony!nokia
96,the motorolla-phone have a horrible battery which lasts about a day ( although i heard that the motorolla-t722i has a much longer battery-life ) . ,,battery!horrible|motorolla-t722i!battery-life|motorolla-phone!battery,motorolla-t722i!battery-life|battery!horrible|motorolla-phone!battery
97,"the s105 ( samsung ) has a beautiful big display ( 65,000 colors ) , and i can 't say much about the motorolla . ",,display!beautiful|s105!display|t!much,display!big|t!beautiful|t!samsung|s105!display
98,"in music tones department the 6610 has 20 chords ( thats number of different instruments which it can play ) i think , the samsung i think have 15 , i donno about the other phones but i feel the t610 has the best sounding ring tones . ",,|number!different,number!different|department!other
99,regarding pc-software-support nokia-suite does not work with some versions of xp as i tried to connect my phone via infrared port on my laptop . ,software!-,nokia-suite!work|port!infrared,|nokia-suite!work|port!infrared
100,overall this is a slightly better than average phone . ,phone!+,|phone!average,phone!average
101,i think there is a good chance i will try to get a samsung flip camera-phone next year . ,,chance!good|camera-phone!samsung|year!camera-phone,camera-phone!samsung|chance!good|year!next|year!camera-phone
102,if t-mobile does not offer such a phone most likely i will get the t610 . ,,|phone!t-mobile|t-mobile!phone,phone!t-mobile|t-mobile!phone
103,"they are all free if you get a new account anyway , but stick to t-mobile if you are going to use your phone overseas because t-mobile actually allows you to unlock your simm cards so that you can buy simm cards cheap from other nations and plug into your phone when you are doing some international travelling . ",,simm!cheap|account!new,account!new|simm!cheap
104,"the phone 's sound quality is great ( turn up the volume if its too quiet , people , this thing will get loud ) i dont have any complaints about this phone and the only thing that i miss from my 8290 is voice-dialing . ",sound quality!+,quality!great|phone!great|thing!voice-dialing,quality!great|phone!great|thing!only
105,i bought this slick phone and i am very happy with it . ,phone!+,phone!slick,phone!happy
106,"technology wise , i think this is awesome plus the speaker makes it even great ! ! ! ! i love this phone ! ! ! ",speaker!+,,technology!wise
107,"please , if anyone want sell to me this cell-phone in my conditions , i 'm wait very happy . ",,wait!happy,cell-phone!happy|wait!happy|wait!cell-phone|anyone!cell-phone|sell!anyone
108,"i thought this was the ultimate phone when it comes to basic features , but i was dissapointed when i saw that it was only a gsm comaptible phone . ",phone!+,|phone!ultimate|gsm!ultimate,saw!only|phone!ultimate|gsm!ultimate
109,"this really is a great little phone ; its got nice features , a beatiful screen , great ergonomics , and its tiny ! ",phone!+,phone!great|phone!nice|screen!beatiful|screen!nice,screen!nice|phone!little
110,"this phone won me over , and a big seller was the size ; it fits nicely into any pocket without falling out . ",size!+,phone!won|seller!big|size!big,seller!big|size!big|phone!won
111,"the downside though , may be a big one for you . ",,one!downside|downside!big,one!big|downside!big
112,"i 've gotten used to it ( holding it in just the right realation to the ear , ducking into quieter places in bars ) but when others borrow it they 're shocked i can use it . ",,realation!right|ear!right,|realation!right|ear!right
113,i bought this phone when it first came out in the summer . ,,,phone!first
114,"prior to my switch to t-mobile , sprint was my service-provider . ",,,sprint!t-mobile|switch!t-mobile
115,"nokia was my first nonflip phone , and i 'm glad i decided to go with them . ",nokia!+,|phone!nokia|nokia!first,phone!first|nokia!first
116,"the phone is small , light , and very attractive . ",size!+,|phone!small,phone!light
117,"the color-screen is a plus , as are the polyphonic ringtones . ",color screen!+,|plus!polyphonic,color-screen!polyphonic|plus!polyphonic
118,"nokia 6610 ( sound quality ) the phone is great with very cool features &#38; options , but comparing to my older motorola-phone , it gets a failing grade in speaker-quality . ",,phone!great|quality!sound|nokia!sound|motorola-phone!nokia|grade!failing|speaker-quality!grade,grade!failing|quality!sound|nokia!sound|phone!great|motorola-phone!nokia|speaker-quality!grade
119,"i do here a constant high-pitched distorted sound , not to mention the volume does not seem to be loud enough . ",sound!-,sound!distorted,volume!loud
120,"it 's going back today , &#38; being replaced with the new samsung x105 . ",,|x105!new,x105!new
121,"this is a very light phone - a little less than 3 oz , with long battery-life ( not as long as the new polymer-technology ) . ",weight!+,|phone!light|battery-life!light|oz!phone,phone!light|battery-life!light|oz!phone
122,the built in fm-radio is excellent for people traveling by public transport . ,radio!+,|transport!public,transport!public
123,"no more hazzles of keying in all data , using the small phone-keypad . ",,|phone-keypad!small,phone-keypad!small
124,"the mms technology is very well integrated with this phone , which you will enjoy . ",mms!+,,technology!well
125,the built-in camera they offer these days is more of kids stuff . ,,|camera!built-in|stuff!camera,camera!built-in|stuff!camera
126,"if you have a good digital camera , there is no reason to consider the camera capabilities of a mobile phone . ",,camera!good|phone!mobile,phone!mobile|camera!good
127,"i felt that i should write this comment-asap , as i am quite excited in using its features . ",,,comment-asap!excited
128,"not only is it the perfect size ( not too small , not too large ) , it also has all the features a high-tech phone-user would want . ",size!+,size!perfect,|size!perfect
129,"in true nokia style , the phone is simple to use and despite its delicate appearance , this little guy is as durable as other nokias i have owned . ",use!+,appearance!delicate|style!nokia|phone!simple|guy!durable,appearance!delicate|phone!simple|style!nokia|style!phone|guy!durable
130,the phone-book is very user-friendly and the speakerphone is excellent . ,phone book!+,phone-book!user-friendly|speakerphone!excellent,speakerphone!excellent|phone-book!user-friendly
131,"even better , with the optional headset you can listen to music over the integrated radio . ",radio!+,radio!integrated|music!integrated|headset!optional,radio!integrated|headset!optional|music!integrated
132,"although i find it more convenient to use 1-touch dialing , this phone does not have voice-dialing . ",voice dialing!-,|phone!voice-dialing|voice-dialing!phone|dialing!1-touch,phone!convenient|voice-dialing!phone|dialing!1-touch
133,"the keypad is a decent size , but the power on/off key is small and difficult to press . ",key!-,size!decent|keypad!decent|key!small|power!small,key!small|power!small|size!decent|keypad!decent
134,it requires significant force to operate which can be scary on such a small phone . ,,force!significant|phone!small,phone!small|force!significant
135,"one other issue is that the headphone-jack is unique to nokia , so standard headphones will not work . ",headphone jack!-,|headphone-jack!unique|nokia!headphone-jack,headphone-jack!standard|nokia!headphone-jack
136,"i could n't be happier with t-mobile either , i switched from cingular . ",,,t-mobile!happier
137,i got this phone in t-mobile 's current customer-retention-program for very little money and no contract-renewal . ,,|money!little|contract-renewal!little,customer-retention-program!t-mobile|money!little|phone!current|t-mobile!current|contract-renewal!money
138,"i was getting so sick of my old motorola-l7089 , but was waiting for the right phone to come along . ",,phone!right|motorola-l7089!old|way!phone,motorola-l7089!old|phone!right
139,that said this phone does what it does extremely well - way better than anything-motorola can produce . ,,way!better,phone!well|way!better|way!phone
140,"it has great battery-life , fm-radio , excellent signal , hands free speakerphone ( which i have to say is probably my favorite function ) and downloadable java apps . ",battery life!+,signal!great|function!great|speakerphone!free|speakerphone!favorite|java!signal,speakerphone!free|fm-radio!great|function!favorite|signal!great|signal!favorite|signal!fm-radio|java!signal
141,"oh and before anyone comments yes i know motorola have announced a quad-band-edge bluetooth-phone , but its not shipping at time of writing and the tri-band gsm850 phones lack the gsm900-band which is important if you like me globally roam . ",,gsm900-band!lack|gsm850!lack,gsm850!lack|gsm850!lack|gsm850!lack|gsm900-band!lack
142,i purchased this phone after having been an at &#38; t-subscriber with a nokia 8260 phone for over three years . ,,|phone!nokia|t-subscriber!nokia|t-store!phone,|phone!nokia|t-subscriber!nokia
143,"i did a ton of research and settled on this phone because of the small size , speakerphone-option , great priced calling plan and access to my corporate email . ",size!+,size!great|speakerphone-option!great|email!corporate|access!corporate|plan!access|network!email,speakerphone-option!small|size!small|email!corporate|access!corporate|plan!access
144,"they told me i would have to connect to my laptop , which had to be on and connected to my corporate network through the phone in order to access my corporate email . ",,|network!corporate|phone!corporate|email!network,|network!corporate|phone!corporate|email!corporate|email!network
145,"great phone , i 'd buy another . ",phone!+,phone!great|bluetooth-functionality!phone,phone!great
146,now my little 6610 is the most coveted item at school ! ,,|item!little|school!coveted,item!little|school!little
147,"service is great as far as i can tell , features work like a charm , ringtones are high quality if you buy them from t-mobile and aim is great . ",service!+,service!great|quality!high|aim!service,quality!high|quality!great|aim!great|quality!great|aim!great|service!great
148,"this is probably your best bet if you are looking for a phone in this price-range , or like me , do not have the patience to deal with annoying flip phones . ",phone!+,bet!best|bet!patience|price-range!bet,bet!best|price-range!bet
149,"1 month , no problems , great phone i 'm very pleased with my 6610 phone . ",phone!+,phone!great,month!problems|phone!great
150,people i talk to on the speakerphone are shocked when it comes out at times that i 'm even using a speakerphone . ,,,speakerphone!shocked
151,"the sound quality is excellent , except , maybe a * tad * too quiet at times when there are quieter talkers on the other end of the line . ",sound quality!+,quality!excellent|end!quieter|line!other,end!other|end!quieter|quality!excellent|line!other
152,"anyways there are ways to set up your 6610 to connect to csd which uses regular minutes and you are surfing the net , being able to download pics and ringtones ( not java apps , you need t-zones for that ) . ",,,net!able
153,"i currrently have service with t-mobile , verizon , and t-mobile . ",,,verizon!t-mobile|service!t-mobile|t-mobile!verizon|t-mobile!verizon
154,the reason so many is that i am a contractor and all of my subs have these carriers and i can benifit from the mobile to mobile features that companies are now offering ! ,,|reason!many|contractor!many,contractor!mobile|reason!many
155,the only problem that i have found with the internet-service is that it does not access mls ( real estate-broker-software ) very well at all . ,internet!-,access!problem|estate-broker-software!access,problem!only|estate-broker-software!real|access!problem|access!problem
156,as i also leave you with this review i would like to thank you for reading it . ,,,review!like
157,the phone may look large but it is very small smaller then the 3390 phone . ,,,phone!large
158,"but anyway , the only thing you should really look at here is the fact that the phone does have voice-dialing . ",voice dialing!+,|thing!only|fact!only|phone!voice-dialing|voice-dialing!phone,thing!only|fact!only|phone!voice-dialing|voice-dialing!phone
159,"the voice-quality is very good , and it gets great reception ( that is , in places where you get t-mobile coverage , which is not that good ; see below ) . ",voice quality!+,voice-quality!good|reception!great|coverage!voice-quality,coverage!t-mobile|reception!great|voice-quality!good
160,"this model does have the traditional key arrangement , it 's just that they are really close to one another , and have unconventional shapes , so it takes a big getting used to for someone like me with big hands . ",key!-,|someone!big|arrangement!traditional|model!arrangement,arrangement!key|someone!big|model!arrangement
161,"( to be fair , the same can be said about many korean imports , and the nokia 's build quality is light years ahead of the koreans . ) ",,|nokia!light,nokia!light
162,"their network-coverage is very sporadic , and the network always seems overloaded , resulting in very unpleasant calling experience . ",t-mobile!-,network-coverage!sporadic|experience!unpleasant,experience!unpleasant|network-coverage!sporadic
163,"the nokia 6610 is a relatively new phone , and what a great phone it is . ",phone!+,phone!great,phone!new|nokia!new|phone!great
164,"the ear-piece has a button that answers and hangs-up the phone so you do not have to mess with the phone at all , unless dialing a number . ",,,phone!mess|button!phone|ear-piece!button
165,"unfortunately , the 6610 does not offer voice dialing like my previous phone , but the other features it packs outweighs this shortcoming . ",voice dialing!-,|phone!previous,phone!previous
166,"when i turned the phone on , the first thing that hit me is how good the screen is . ",screen!+,|thing!first|screen!thing,thing!first|screen!thing
167,the phone has several color schemes you can choose from . ,,|color!several,color!several
168,"the massive phonebook can hold 300 entries , with multiple phone-number per entry , so you can program your boss 's home , work and cellphone-numbers all under one contact . ",,,phonebook!work|phone-number!phonebook|entry!multiple
169,"the service deafults to showing the information associated with your billing-zip-code , but you can change the default and seach other areas while on the go . ",,|default!other|go!default|seach!other,default!other|seach!other|go!default
170,"now , for the t-mobile service : ",,|service!t-mobile,service!t-mobile
171,i 'd like to see my old carrier do that ! ,,|carrier!old,carrier!old
172,"different people have different needs , of course , but the t-mobile plans are priced very well for the minutes and services you receive . ",,,course!different
173,the phone would have received 5 stars if the phone had voice-dialing and the game downloads from t-zones worked . ,,|phone!voice-dialing|voice-dialing!phone|nokia!phone|game!voice-dialing,game!worked|phone!voice-dialing|voice-dialing!phone
174,"with all its complicated features , the menus are easily accessible and the quality of the features is great . ",menu!+|feature!+,quality!great|quality!complicated,quality!great
175,the one huge disappointment is that the phones manufactured for t-mobile lack many of the menus and functions that a nokia straight from the manufacturer should have . ,menu!-,,disappointment!huge
176,"one of the things t-mobile brags about is the fact that it 's a "" worldphone "" and can be used in europe , etc. ",,|fact!t-mobile,fact!t-mobile
177,"therefore , if you wanted to travel abroad and pop in a local sim-card , even if you unlock the phone , there is no way you can use the local wap-browser or internet . ",,|sim-card!local|internet!local|wap-browser!internet|wap-browser!sim-card|way!wap-browser,wap-browser!local|internet!local|sim-card!local|way!wap-browser
178,"bottom line , if you 're attracted to this phone because of its tri-band feature so you can take it abroad , forget it . ",,|line!bottom|feature!tri-band,feature!tri-band|line!bottom
179,this phone is good with a huge array of features built into it . ,phone!+|feature!+,phone!good|array!phone,phone!good|array!huge|array!phone
180,i purchased the phone last week and have been using till then . . ,,|week!last,week!last
181,the design is sleek and the color-screen has good resolution . ,design!+,design!sleek|resolution!good|color-screen!resolution,resolution!good|design!sleek|color-screen!resolution
182,it is very light weight and has a good signal-strength . ,weight!+,signal-strength!good|weight!light,weight!light|signal-strength!good|signal-strength!weight
183,"however , the main problem that i think is the with the sound quality . ",sound quality!-,quality!problem,quality!sound|quality!problem
184,"but , i would definately recommend this phone . ",phone!+,phone!recommend|lot!phone,phone!recommend
185,i have read a lot of the reviews and my phone does not have a hiss or anything that people are talking about . ,,lot!hiss|phone!lot|hiss!lot|anything!hiss,phone!hiss|lot!hiss|lot!phone|hiss!lot|anything!hiss
186,this is one of the nicest phones nokia has made . ,phone!+,nokia!nicest,
