,id,review,target,category,term
0,1004293:1,"we, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",staff,SERVICE,like|staff|place
1,1004293:3,the food was lousy - too sweet or too salty and the portions tiny.,"food,portions","FOOD,FOOD",food
2,1014458:0,"i have eaten at saul, many times, the food is always consistently, outrageously good.",food,FOOD,food|good
3,1014458:2,the duck confit is always amazing and the foie gras terrine with figs was out of this world.,"foie gras terrine with figs,duck confit","FOOD,FOOD",duck|confit|foie|terrine|figs|world
4,1014458:3,the wine list is interesting and has many good values.,"wine list,wine list","FOOD,PRICES",wine|good
5,1016296:1,ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,cart attendant,SERVICE,cart|attendant|lotus|leaf
6,1016296:3,"food was okay, nothing great.",Food,FOOD,food|great
7,1016296:4,chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family.,"Chow fun,pork shu mai,NULL","FOOD,FOOD",chow|pork|table|family
8,1028246:1,"service was devine, oysters where a sensual as they come, and the price can't be beat!!!","Service,oysters,NULL","SERVICE,FOOD,PRICES",service|price
9,1032695:1,"everything is always cooked to perfection, the service is excellent, the decor cool and understated.","NULL,service,decor","FOOD,SERVICE,AMBIENCE",service
10,1032695:2,i had the duck breast special on my last visit and it was incredible.,duck breast special,FOOD,duck|breast|visit
11,1041457:2,"the food is very average...the thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.","food,Thai fusion stuff,NULL","FOOD,FOOD,FOOD",food
12,1041457:3,the only thing i moderately enjoyed was their grilled chicken special with edamame puree.,Grilled Chicken special with Edamame Puree,FOOD,thing|chicken|edamame|puree
13,1041457:4,i had never had edamame pureed before but i thought it was innovative and tasty (could've used a bit more salt).,"Edamame pureed,Edamame pureed","FOOD,FOOD",edamame|pureed|salt
14,1041457:6,"the decor is night tho...but they really need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.","place,decor,vent","AMBIENCE,AMBIENCE,AMBIENCE",place
15,1053543:2,"their sake list was extensive, but we were looking for purple haze, which wasn't listed but made for us upon request!","sake list,NULL","FOOD,SERVICE",sake|list|haze|request
16,1053543:3,"the spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!","spicy tuna roll,rock shrimp tempura","FOOD,FOOD",great|good
17,1053543:4,we went around 9:30 on a friday and it had died down a bit by then so the service was great!,service,SERVICE,service|great
18,1055910:2,food-awesome.,Food,FOOD,food
19,1055910:3,service- friendly and attentive.,Service,SERVICE,service
20,1055910:4,ambiance- relaxed and stylish.,Ambiance,AMBIENCE,ambiance
21,1058221:2,the food is decent.,food,FOOD,food
22,1058221:3,"however, it's the service that leaves a bad taste in my mouth.",service,SERVICE,service
23,1058221:4,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.",waiter,SERVICE,like
24,1062641:2,food is great.,Food,FOOD,food|great
25,1062641:3,service is top notch.,Service,SERVICE,service
26,1064477:0,"i tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",sea urchin,FOOD,restaurant
27,1064477:2,the sushi seemed pretty fresh and was adequately proportioned.,"sushi,sushi","FOOD,FOOD",sushi
28,1064477:3,the rice to fish ration was also good--they didn't try to overpack the rice.,rice to fish ration,FOOD,good
29,1064477:4,we took advanatage of the half price sushi deal on saturday so it was well worth it.,"half price sushi deal,half price sushi deal","FOOD,PRICES",price
30,1074868:4,the food was well prepared and the service impecable.,"food,service","FOOD,SERVICE",service|food
31,1084394:3,the prix fixe menu is worth every penny and you get more than enough (both in quantity and quality).,"Prix Fixe menu,Prix Fixe menu,Prix Fixe menu","FOOD,FOOD,PRICES",prix|fixe|menu|penny|quantity|quality
32,1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.","food,food,food","FOOD,FOOD,PRICES",food
33,1086415:3,"i am not a vegetarian but, almost all the dishes were great.",dishes,FOOD,great
34,1086478:0,"the food here is rather good, but only if you like to wait for it.","food,NULL","FOOD,SERVICE",like|food|good
35,1086478:1,"i like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.","somosas,chai,chole,dhosas,dhal","FOOD,FOOD,FOOD,FOOD,FOOD",like
36,1086478:2,"the service varys from day to day- sometimes they're very nice, and sometimes not.",service,SERVICE,service|nice
37,1086478:3,"the kitchen however, is almost always slow.",kitchen,SERVICE,kitchen
38,1086478:4,"also, specify if you like your food spicy- its rather bland if you don't.",food,FOOD,like|food
39,1086478:5,"the ambience is pretty and nice for conversation, so a casual lunch here would probably be best.","ambience,NULL",AMBIENCE,nice
40,1090587:1,if you've ever been along the river in weehawken you have an idea of the top of view the chart house has to offer.,view,AMBIENCE,river|idea|view|chart|house
41,1090587:2,add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,"service,food,food","SERVICE,FOOD,PRICES",service|price|food|great|great|great
42,1090587:3,the lava cake dessert was incredible and i recommend it.,lava cake dessert,FOOD,lava|cake|dessert
43,1102681:0,"once you step into cosette, you're miraculously in a small, off-the-beaten path parisian bistro.",Cosette,AMBIENCE,cosette|path|bistro
44,1102681:1,"this tiny restaurant is as cozy as it gets, with that certain parisian flair.",restaurant,AMBIENCE,restaurant
45,1102681:2,"the food was average to above-average; the french onion soup filling yet not overly impressive, and the desserts not brilliant in any way.","food,French Onion soup,French Onion soup,desserts","FOOD,FOOD,FOOD,FOOD",food
46,1102681:3,"however, go for the ambience, and consider the food just a companion for a trip across the world!","ambience,food","AMBIENCE,FOOD",food
47,1118167:2,the pizza was delivered cold and the cheese wasn't even fully melted!,"pizza,cheese","FOOD,FOOD",pizza|cheese
48,1119578:1,the pizza is overpriced and soggy.,"pizza,pizza","FOOD,PRICES",price
49,1119578:2,"yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.","ingredients,pizza,crust","FOOD,FOOD,FOOD",good
50,1123262:0,i think i've had some the best meals of my life at minnow.,meals,FOOD,meals|life|minnow
51,1123262:1,"the seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.","seafood,wine list,menu","FOOD,FOOD,FOOD",wine|food|great|good
52,1123262:2,the combination of super-fresh ingredients in the dishes are unusual but really delicious.,ingredients,FOOD,combination|ingredients|dishes
53,1125006:1,best pastrami i ever had and great portion without being ridiculous.,"Pastrami,portion","FOOD,FOOD",great
54,1125006:3,my wife had the fried shrimp which are huge and loved it.,"fried shrimp,fried shrimp","FOOD,FOOD",wife|shrimp
55,1125284:2,"the signs, the specials menus, food, and even all the waitstaff are all totally japanese.","signs,specials menus,food,waitstaff","FOOD,FOOD,SERVICE",staff|food
56,1126814:0,"leon is an east village gem: casual but hip, with well prepared basic french bistro fare, good specials, a warm and lively atmosphere.","Leon,Leon,specials,atmosphere,French bistro fare","AMBIENCE,FOOD,AMBIENCE,FOOD",good
57,1126814:1,"my wife and i always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",staff,SERVICE,staff
58,1126814:3,decent wine at reasonable prices.,"wine,wine","FOOD,PRICES",wine|price
59,1126886:2,"the service is excellent, the decor is great, and the food is delicious and comes in large portions.","service,decor,food,portions","SERVICE,AMBIENCE,FOOD,FOOD",service|food|great
60,1131595:2,the hostess is rude to the point of being offensive.,hostess,SERVICE,hostess|point
61,1131595:3,the food was bland oily.,food,FOOD,food
62,1138996:1,"we have been to this place many times, and always have great food, wine, and service.","food,wine,service","FOOD,FOOD,SERVICE",service|wine|food|place|great
63,1138996:2,"we were worried we would have trouble getting in, but somehow managed to have a short wait.",wait,SERVICE,trouble|wait
64,1138996:3,as always we had a great glass of wine while we waited.,glass of wine,FOOD,wine|great
65,1138996:4,"when we sat, we got great and fast service.",service,SERVICE,service|great
66,1138996:5,the people that work there are always so friendly you forget you are in new york sometimes.,people,SERVICE,people
67,1145510:1,the pizza is yummy and i like the atmoshpere.,"pizza,atmoshpere","FOOD,AMBIENCE",like
68,1145510:2,but the pizza is way to expensive.,pizza,PRICES,pizza
69,1145510:3,"a large is $20, and toppings are about $3 each.","NULL,toppings","PRICES,PRICES",toppings
70,1147082:0,i went there for lunch and it was not as good as i expected from the reviews i read.,lunch,FOOD,good
71,1147082:1,sauce was watery and the food didn't have much flavor.,"Sauce,food","FOOD,FOOD",food
72,1147211:2,the waitress was very patient with us and the food is phenomenal!,"waitress,food","SERVICE,FOOD",food
73,1147211:3,"service was prompt, friendly and great.",Service,SERVICE,service|great
74,1153034:0,great pizza and fantastic service.,"pizza,service","FOOD,SERVICE",service|great
75,1153034:1,"there was a small wait, but shorter than i expected.",wait,SERVICE,wait
76,1153034:2,located at the end of a magnificent block.,block,AMBIENCE,block
77,1154550:0,this is the best sushi in new york city - hands down.,sushi,FOOD,sushi|hands
78,1154550:1,the place is small and cramped but the food is fantastic.,"place,food","AMBIENCE,FOOD",food|place
79,1154550:2,get the tuna of gari.,tuna of gari,FOOD,tuna|gari
80,1162037:0,"planet thailand has always been a hit with me , i go there usually for the sushi, which is great , the thai food is excellent too .","sushi,thai food,Planet Thailand","FOOD,FOOD",food|great
81,1162037:1,"with the great variety on the menu , i eat here often and never get bored .",menu,FOOD,great
82,1162037:2,"the atmosphere isn't the greatest , but i suppose that's how they keep the prices down .","atmosphere,NULL","AMBIENCE,PRICES",price|great
83,1162037:3,it's all about the food !!,food,FOOD,food
84,1167434:3,"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.",menu,FOOD,menu|choices|dumplings|appetizer|section
85,1167434:5,"those rolls were big, but not good and sashimi wasn't fresh.","rolls,rolls,sashimi","FOOD,FOOD,FOOD",good
86,1175958:1,"try the crunchy tuna, it is to die for.",crunchy tuna,FOOD,tuna
87,1189674:0,first went here to enjoy their garden terrace.,garden terrace,AMBIENCE,garden|terrace
88,1189674:1,"the food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.","food,service","FOOD,SERVICE",service|food
89,1189674:2,"the steak tartare is a great bet, they fix it for you at the table.",Steak Tartare,FOOD,great
90,1189674:3,"admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.","open kitchen,restaurant","AMBIENCE,AMBIENCE",restaurant
91,1189674:4,"great wine selection, gigondas is worth the price, and the house champagne is a great value.","wine selection,Gigondas,house champagne","FOOD,FOOD,PRICES",wine|price|great|great
92,1189674:5,"it may be a bit packed on weekends, but the vibe is good and it is the best french food you will find in the area.","NULL,vibe,French food","AMBIENCE,AMBIENCE,FOOD",food|good
93,1199292:0,"pizza - the only pizza in nyc that should not have additional toppings - the crust tastes like the best, freshly baked bread!","crust,pizza","FOOD,FOOD",like
94,1199480:0,"not sure where the previous reviewer, lonk, dined, but saul is in a great neighborhood and has great food!","neighborhood,food","AMBIENCE,FOOD",food|great|great
95,1199480:2,i'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,"setting,service,NULL","AMBIENCE,SERVICE",service|nice
96,1205520:2,make sure you have the spicy scallop roll.. .,Spicy Scallop roll,FOOD,scallop|roll
97,1212346:0,"moules were excellent, lobster ravioli was very salty!","Moules,lobster ravioli","FOOD,FOOD",moules|ravioli
98,1212346:1,"took my mom for mother's day, and the maitre d' was pretty rude.",maitre d',SERVICE,mother|maitre
99,1212346:4,tiny dessert was $8.00...just plain overpriced for what it is.,"dessert,dessert","FOOD,PRICES",price
100,1221938:0,the drinks are always welll made and wine selection is fairly priced.,"drinks,wine selection","FOOD,PRICES",wine|price
101,1221938:1,try their chef's specials-- they are to die for.,chef's specials,FOOD,chef|specials
102,1221938:2,"service is not exactly five star, but thats not really a big deal.",Service,SERVICE,service
103,1221938:3,downstairs lounge is always a good attraction,Downstairs lounge,AMBIENCE,good
104,1225162:0,"raga's is a romantic, cozy restaurant.",Raga's,AMBIENCE,restaurant
105,1225162:1,the exotic food is beautifully presented and is a delight in delicious combinations.,"exotic food,exotic food","FOOD,FOOD",food
106,1225162:3,the staff is incredibly helpful and attentive.,staff,SERVICE,staff
107,1225162:4,the bar is very well stocked with interesting beers and well priced wines.,"bar,beers,wines","FOOD,FOOD,PRICES",wine|price
108,1227999:1,"the waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no...",waitress,SERVICE,waitress|table|bathroom|dinner|orders|toilet
109,1227999:4,"rude service, medicore food...there are tons of restaurants in ny...stay away from this one","service,food,NULL","SERVICE,FOOD",service|restaurant|food
110,1230993:1,i loved everythig about it-especially the shows and actors.,"NULL,shows,actors","AMBIENCE,AMBIENCE",everythig|shows|actors
111,1230993:2,our server was very helpful and friendly.,server,SERVICE,server
112,1230993:4,the food was good too.,food,FOOD,food|good
113,1232468:0,the tuna and wasabe potatoes are excellent.,"tuna,wasabe potatoes","FOOD,FOOD",tuna|wasabe|potatoes
114,1232468:1,the outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,outdoor atmosphere,AMBIENCE,atmosphere|sidewalk|world|feet
115,1232468:3,service was prompt and courteous.,Service,SERVICE,service
116,1241906:0,"great service, great food.","service,food","SERVICE,FOOD",service|food|great|great
117,1253117:1,"the pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.","pizza,fresh mozzarella","FOOD,FOOD",pizza|mozzarella|cheese|pizzaria
118,1253117:2,"two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.",appetizer selection,FOOD,nice
119,1253117:5,wait staff is blantently unappreciative of your business but its the best pie on the uws!,"Wait staff,pie","SERVICE,FOOD",staff
120,1256373:0,by far the best salad i have had in a fast food restaurant.,salad,FOOD,restaurant|food
121,1256373:1,fine dining restaurant quality.,dining,FOOD,restaurant
122,1264954:2,"the chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.","chicken pot pie,cheeseburger,cheeseburger,service","FOOD,FOOD,FOOD,SERVICE",service
123,1269216:1,the staff is no nonsense.,staff,SERVICE,staff
124,1269216:2,the food options rule.,food,FOOD,food
125,1269216:3,when i lived upstate for a while i would buy freeze the bagels and they would still be better than any else.,bagels,FOOD,while|bagels
126,1275154:4,"he served me an uni hand roll, which i never had before, and let me tell you...it was heaven!",Uni Hand roll,FOOD,roll|heaven
127,1275154:6,the sake menu should not be overlooked!,sake menu,FOOD,sake|menu
128,1275154:8,try the lobster teriyaki and the rose special roll.,"lobster teriyaki,rose special roll","FOOD,FOOD",teriyaki|roll
129,1280166:1,"service was very good - prompt, attentive and non-intrusive.",Service,SERVICE,service|good
130,1280166:2,"food was very good as well, considering that we tried the budget selection (though i wish the pork belly that i ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).","Food,pork belly","FOOD,FOOD",food|good
131,1280166:3,wine list selection is good and wine-by-the-glass was generously filled to the top.,"Wine list selection,wine-by-the-glass","FOOD,FOOD",wine|wine|good
132,1280166:4,traditional french decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.,"Traditional French decour,hall","AMBIENCE,AMBIENCE",restaurant
133,1280179:1,"to sum it up: service varies from good to mediorce, depending on which waiter you get; generally it is just average ok.",Service,SERVICE,service|good
134,1280179:2,"seating is always prompt, though the restaurant does fill up in the evening.",Seating,SERVICE,restaurant
135,1280179:3,"food is usually very good, though ocasionally i wondered about freshmess of raw vegatables in side orders.","Food,raw vegatables in side orders","FOOD,FOOD",food|good
136,1280179:5,"the decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.","decor,semi-private boths","AMBIENCE,AMBIENCE",great
137,1286916:1,"the first time i went, and was completely taken by the live jazz band and atmosphere, i ordered the lobster cobb salad.","live jazz band,atmosphere","AMBIENCE,AMBIENCE",time|jazz|band|atmosphere
138,1286916:3,it's simply the best meal in nyc.,meal,FOOD,meal
139,1287538:2,the restaurant is cute but not upscale.,restaurant,AMBIENCE,restaurant
140,1287538:3,the food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.,"food,balance of herbs and tomatoes","FOOD,FOOD",food|food
141,1289424:3,the server was really cool and served us our food and drinks with a smile.,server,SERVICE,food
142,1289424:4,the place's decor and hidden bathrooms made for a good laugh.,"decor,hidden bathrooms","AMBIENCE,AMBIENCE",place|good
143,1293334:2,"the have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if i must recommend a dish it must be the pumkin tortelini.","beers,food,pumkin tortelini","FOOD,FOOD,FOOD",food
144,1297844:2,the bagel was huge.,bagel,FOOD,bagel
145,1297844:4,the workers there also absolutely load the bagel with cream cheese (gets a little messy).,bagel,FOOD,workers|bagel|cream|cheese
146,1300636:0,this was my frist time at cafe st. bart's and i must say how delicous the food and the service was.,"food,service","FOOD,SERVICE",service|food
147,1300636:2,i have to highly recommend the lobster roll - not to much mayo; you can tell it was a fresh lobster.,"lobster roll,lobster","FOOD,FOOD",roll|mayo
148,1300636:3,"other guests enjoyed pizza, santa fe chopped salad and fish and chips.","pizza,santa fe chopped salad,fish and chips","FOOD,FOOD,FOOD",guests|pizza|santa|fish|chips
149,1300636:4,"i highly recommend cafe st. bart's for their food, the ambience and wonderful service.","food,ambience,service","FOOD,AMBIENCE,SERVICE",service|food
150,1303888:0,all the staff is absolutely professional!!,staff,SERVICE,staff
151,1303984:1,my chow fun and chow see was really bland and oily.,chow fun and chow see,FOOD,chow|chow|oily
152,1303984:3,the scallion pancakes and fried dumplings were nothing out of the ordinary.,"scallion pancakes,fried dumplings","FOOD,FOOD",scallion|pancakes|dumplings|nothing
153,1308557:0,the service was the only thing good about this restaurant.,"service,restaurant",SERVICE,service|restaurant|good
154,1308557:1,"it's boring on the inside, and our sushi was pretty below average... the tuna was soggy and the other rolls had no flavor.","NULL,sushi,tuna,rolls","AMBIENCE,FOOD,FOOD,FOOD",inside|sushi|average|tuna|rolls|flavor
155,1310217:1,their pad penang is delicious and everything else is fantastic.,"pad penang,NULL","FOOD,FOOD",penang|everything
156,1310217:2,the price is reasonable although the service is poor.,"NULL,service","PRICES,SERVICE",service|price
157,1318537:0,fresh restaurant was amazing........ food was delicious and of course fresh.,"fresh restaurant,food",FOOD,restaurant|food
158,1318537:4,hats off to the chef.,chef,FOOD,hats|chef
159,1328078:3,"the salads are delicious, both refreshing and very spicy.",salads,FOOD,salads
160,1328078:4,we had pam's special fried fish and it was amazing.,Pam's special fried fish,FOOD,fish
161,1335154:1,"great vibe, lots of people.",vibe,AMBIENCE,great
162,1335154:4,"i didn't complain, i liked the atmosphere so much.",atmosphere,AMBIENCE,like
163,1335656:2,"ambience is so cute and quaint, good for business although we were there on vacation.","Ambience,NULL",AMBIENCE,good
164,1335656:3,salads were fantastic.,Salads,FOOD,salads
165,1335656:4,although we were looking for regular lettuce and some walnuts the salads we got were great.,salads,FOOD,great
166,1335656:5,ingredients are organic which is a real plus for me.,Ingredients,FOOD,ingredients
167,1338124:0,"this is some really good, inexpensive sushi.","sushi,sushi","FOOD,PRICES",good
168,1338124:2,the spicy tuna roll is huge and probably the best that i've had at this price range.,"spicy Tuna roll,spicy Tuna roll,spicy Tuna roll","FOOD,FOOD,PRICES",price
169,1338124:3,the yellowtail was particularly good as well.,Yellowtail,FOOD,good
170,1338124:4,"i have reservations about the all you can eat deal, however -- the choices are fairly limited and you can probably order more food than you can eat for less than $18 by just going off the menu.","all you can eat deal,all you can eat deal","FOOD,PRICES",food
171,1340075:1,"they have it all -- great price, food, and service.","NULL,NULL,food,service","PRICES,FOOD,SERVICE",service|price|food|great
172,1340075:2,the atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.,"atmosphere,waiters","AMBIENCE,SERVICE",atmosphere|waiters|things
173,1340075:4,"and it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).","NULL,congee,noodles,rice dishes","PRICES,PRICES,PRICES,PRICES",price
174,1340075:5,the takeout is great too since they give high quality tupperware as well.,takeout,SERVICE,great
175,1341354:1,enjoyed a very nice caesar salad while my wife had arugula and goat cheese....both very tasty.,"Caesar Salad,arugula and goat cheese","FOOD,FOOD",nice
176,1341354:2,we both opted for a pasta dish and they were served timely and fresh.,"NULL,pasta dish","SERVICE,FOOD",pasta|dish
177,1341354:3,"we concluded with tiramisu chocolate cake, both were delicious.","tiramisu,chocolate cake","FOOD,FOOD",tiramisu|chocolate|cake
178,1347423:1,"the staff was accomodating, the food was absolutely delicious and the place is lovely.","staff,food,place","SERVICE,FOOD,AMBIENCE",staff|food|place
179,1347423:2,we even had a visit from the manager who wanted to make sure we were enjoying ourselves.,Manager,SERVICE,visit|manager
180,1349391:0,sometimes i get good food and ok service.,"food,service","FOOD,SERVICE",service|food|good
181,1349391:1,"sometimes i get bad food and bad service, sometimes i get good good and bad service.","food,service,service,good","FOOD,SERVICE,SERVICE,FOOD",service|service|food|good|good
182,1352948:0,the place is a bistro which means: simple dishes and wine served efficiently in a bustling atmosphere.,"dishes,wine,NULL,atmosphere","FOOD,FOOD,SERVICE,AMBIENCE",wine|place
183,1353599:0,right off the l in brooklyn this is a nice cozy place with good pizza.,"pizza,place","FOOD,AMBIENCE",place|nice|good
184,1353599:1,mine was a little burnt but still delicious with goat cheese and panchetta (raddichio was kind of bitter though).,"raddichio,NULL","FOOD,FOOD",goat|cheese|panchetta|raddichio|kind
185,1353599:2,my friend got the mushroom pizza which tasted better.,mushroom pizza,FOOD,friend|mushroom|pizza
186,1353599:3,the sangria was pretty tasty and good on a hot muggy day.,sangria,FOOD,good
187,1357554:0,i started out with a bombay beer which was big enough for two.,Bombay beer,FOOD,beer
188,1357554:3,"service was slow, but the people were friendly.","Service,people","SERVICE,SERVICE",service
189,1357554:4,it's a nice place to relax and have conversation.,place,AMBIENCE,place|nice
190,1367358:1,the food is authentic italian - delicious!,food,FOOD,food
191,1367358:2,"pizza is terrific, as is homemade pasta.","Pizza,homemade pasta","FOOD,FOOD",pizza|homemade|pasta
192,1367358:3,"ambience is delightful, service impeccable.","Ambience,service","AMBIENCE,SERVICE",service
193,1380450:0,i'm still mad that i had to pay for lousy food.,food,FOOD,food
194,1380450:1,the hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed.,"hanger steak,tuna","FOOD,FOOD",like|like
195,1380450:2,service was also horrible and the ambience is not that great.,"Service,ambience","SERVICE,AMBIENCE",service|great
196,1387314:1,this is my first time writing a review for a restaurant because the food and service was excellent.,"food,service","FOOD,SERVICE",service|restaurant|food
197,1387314:2,the filet mignon dish was superb!,filet mignon dish,FOOD,mignon|dish
198,1387314:4,it's a small cute restaurant.,restaurant,AMBIENCE,restaurant
199,1390357:2,"i like the ambience, it's very dark and original.",ambience,AMBIENCE,like
200,1390357:4,the sushi is amazing!!!,sushi,FOOD,sushi
201,1394712:0,very affordable and excellent ambient!,"ambient,NULL","AMBIENCE,PRICES",
202,1394712:1,we ordered some beef and noodle soup dishes from the thai section of the menu but nothing we got was thai.,beef and noodle soup dishes,FOOD,beef|noodle|soup|dishes|section|menu|nothing
203,1394712:3,we won't go to this place again for a good meal.,meal,FOOD,place|good
204,1394712:4,"however, i think this place is a good hang out spot.",place,AMBIENCE,place|good
205,1395421:1,the pizza and wine were excellent-the service too--but what really made this place was the backyard dining area.,"Pizza,wine,service,backyard dining area","FOOD,FOOD,SERVICE,AMBIENCE",service|wine|place
206,1398844:0,"first of all, this place is *not* romantic, as claimed by citysearch's editorial review.",place,AMBIENCE,place
207,1398844:2,"the tables are crammed way too close, the menu is typical of any italian restaurant, and the wine list is simply overpriced.","tables,menu,wine list","AMBIENCE,FOOD,PRICES",wine|restaurant|price
208,1398844:3,slightly above average wines start at $70+ with only one selection listed at $30+.,"wines,wines","FOOD,PRICES",wine
209,1398844:4,service is not what one would expect from a joint in this price category.,Service,SERVICE,service|price
210,1398844:6,somehow working the italian charm with constant mille grazie does not constitute proper service.,service,SERVICE,service
211,1398844:7,"to be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of teodora.","food,Teodora",FOOD,food
212,1404042:1,not one of our meals was edible - bland and/or made with weird rosemary or orange flavoring.,"meals,rosemary or orange flavoring","FOOD,FOOD",meals|bland|rosemary|orange|flavoring
213,1404042:2,fish was overdone.,Fish,FOOD,fish
214,1404042:3,"cute place, nice wait staff but would never go there again.","wait staff,place,place","SERVICE,AMBIENCE",staff|place|nice
215,1404042:4,someone else recommended the dessert - we also left that.,dessert,FOOD,someone|dessert
216,1404042:5,one of us actually liked the expresso - that's it.,expresso,FOOD,like
217,1410878:1,i've never had bad service and the fish is fresh and delicious.,"service,fish","SERVICE,FOOD",service
218,1410878:2,their tuna tartar appetizer is to die for.,tuna tartar appetizer,FOOD,tuna|tartar|appetizer
219,1413697:2,the place is so cool and the service is prompt and curtious.,"service,place","SERVICE,AMBIENCE",service|place
220,1417496:2,the dining room is quietly elegant with no music to shout over -- how refreshing!,dining room,AMBIENCE,dining|room|music
221,1417496:3,"the service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.","service,staff","SERVICE,SERVICE",service|staff
222,1430994:0,the view is breathtaking the service is top notch... the ambiance is wonderfull.,"view,service,ambiance","AMBIENCE,SERVICE,AMBIENCE",service
223,1430994:1,the staff offers impeccable service.,staff,SERVICE,service|staff
224,1439875:1,"the place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.","service,place,place","SERVICE,AMBIENCE",service|place|great
225,1439875:3,the food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,"food,prixe fixe tasting menu,prixe fixe tasting menu,NULL","PRICES,FOOD,PRICES,SERVICE",price|price|like|food|food|food|food|food|great|good
226,1448587:3,"the decor in this place is very diner-ish and the kind of place you expect in the east village - not romantic, just simple, small and sparse.",decor,AMBIENCE,place|place
227,1451107:0,this place is so much fun.,place,AMBIENCE,place
228,1451107:6,the staff was the friendliest that have seen in new york.,staff,SERVICE,staff
229,1457607:0,the place is a lot of fun.,place,AMBIENCE,place
230,1457607:2,the characters really make for an enjoyable experience.,characters,AMBIENCE,characters|experience
231,1459569:1,service was slow had to wait to order and get food although not crowded.,Service,SERVICE,service|food
232,1459569:2,drinks way over priced.,Drinks,PRICES,price
233,1460715:1,service was quick.,Service,SERVICE,service
234,1470286:1,delivery is fast too.,Delivery,SERVICE,delivery
