,sentence,lambda,raw_aspect,aspect,sentiment
0,i recently purchased the canon powershot g3 and am extremely satisfied with the purchase . ,"CC(satisfied_VB_P_1(purchase_NN_N_0),purchased_VB_N_0(canon+powershot+g3_NN_N_0),i_LS_N_0)","['purchase_NN_N_0', 'powershot+g3_NN_N_0']","['purchase', 'powershot g3']","[0, 0]"
1,"after i took their picture with their camera , they offered to take a picture of us . ","camera_NN_N_0(took_VB_N_0(picture_NN_N_0),i_FW_N_0,offered_VB_N_0(take_VB_N_0(picture_NN_N_0),they_PRP_N_0))","['camera_NN_N_0', 'picture_NN_N_0', 'picture_NN_N_0']","['camera', 'picture', 'picture']","[0, 0, 0]"
2,they fired away and the picture turned out quite nicely . ( as all of my pictures have thusfar ) . ,"CC(have_VB_N_0(\x.x,\x.x,\X.turned_VB_N_0(X),picture_NN_N_0),fired_VB_N_0(they_PRP_N_0))",['picture_NN_N_0'],['picture'],[0]
3,a few of my work constituants owned the g2 and highly recommended the canon for picture quality . ,"CC(recommended_VB_P_1(seq(picture+quality_NN_N_0,canon_NN_N_0)),owned_VB_N_0(g2_NN_N_0),few_JJ_N_0)","['picture+quality_NN_N_0', 'canon_NN_N_0', 'g2_NN_N_0']","['picture quality', 'canon', 'g2']","[0, 0, 0]"
4,i 'm easily enlarging pictures to 8 1/2 x 11 with no visable loss in picture quality and not even using the best possible setting as yet ( super fine ) . ,"am_VB_N_0(CC(using_VB_N_0(seq(setting_NN_N_0)),seq(picture+quality_NN_N_0,loss_NN_Ne_0,x_NN_N_0(\x.x,enlarging_VB_N_0(pictures_NNS_N_0)))),i_FW_N_0)","['setting_NN_N_0', 'picture+quality_NN_N_0', 'x_NN_N_0']","['setting', 'picture quality', 'x']","[0, 0, 0]"
5,great job canon ! ,job+canon_NN_N_1,['job+canon_NN_N_1'],['job canon'],[0]
6,yep . ,yep_NN_N_0,['yep_NN_N_0'],['yep'],[0]
7,"this is my first digital camera , and what a ' toy ' it is ! ","is_VB_N_0(CC(is_VB_N_0(toy_NN_N_0,it_PRP_N_0),camera_NN_N_0),\x.x)","['toy_NN_N_0', 'camera_NN_N_0']","['toy', 'camera']","[0, 0]"
8,"just a little overview , powershot g3 is the flagship of canon 's powershot series and its an slr-like camera , its 4 megapixel and ( alsmost ) full manual control gives the pictures a touch of brilliance . ","CC(gives_VB_N_0(pictures_NNS_N_0,touch_NN_N_0,seq(alsmost_NN_N_0,manual+control_NN_N_0)),is_VB_N_0(CC(seq(megapixel_NN_N_0,camera_NN_N_0),flagship_NN_N_0),\x.x))","['touch_NN_N_0', 'alsmost_NN_N_0', 'manual+control_NN_N_0', 'megapixel_NN_N_0', 'camera_NN_N_0', 'flagship_NN_N_0']","['touch', 'alsmost', 'manual control', 'megapixel', 'camera', 'flagship']","[0, 0, 0, 0, 0, 0]"
9,"whether you are a novice or an expert , its ease of use and functionality goes together . ","are_VB_N_0(CC(expert_NN_N_0,novice_NN_N_0),you_PRP_N_0,\x.x)","['expert_NN_N_0', 'novice_NN_N_0']","['expert', 'novice']","[0, 0]"
10,"+ you can have different kind of lens if you want + flashes , etc. ","etc_FW_N_0(want_VB_N_0(flashes_NNS_N_0),you_PRP_N_0,have_VB_N_0(kind_NN_N_0),you_PRP_N_0)",['kind_NN_N_0'],['kind'],[0]
11,i am using kingston 512mb cf which works great and is very fast . ,"am_VB_N_0(using_VB_N_0(kingston+512mb+cf_NN_N_1),i_FW_N_0)",['512mb+cf_NN_N_1'],['512mb cf'],[0]
12,* main dial is not backlit . ,dial_NN_N_0,['dial_NN_N_0'],['dial'],[0]
13,* lens visible in optical viewfinder . ,viewfinder_NN_N_0(lens_NN_N_0),"['viewfinder_NN_N_0', 'lens_NN_N_0']","['viewfinder', 'lens']","[0, 0]"
14,"following my research , i decided on the g3 . ","g3_NN_N_0(\X.decided_VB_N_0(X),following_VB_N_0(research_NN_N_0),i_FW_N_0)","['g3_NN_N_0', 'research_NN_N_0']","['g3', 'research']","[0, 0]"
15,"in a word , "" awesome "" is how i would describe this camera . ","word_NN_N_0(is_VB_N_0(describe_VB_N_0(camera_NN_N_0,i_FW_N_0),awesome_JJ_P_1))","['word_NN_N_0', 'camera_NN_N_0']","['word', 'camera']","[0, 0]"
16,"with the automatic settings , i really have n't taken a bad picture yet . ","settings_NNS_N_0(taken_VB_N_0(picture_NN_N_1,i_FW_N_0))",['picture_NN_N_1'],['picture'],[0]
17,"i am absolutely in awe of this camera , canon put enormous quality into the g3 . ","am_VB_N_0(\x.x,i_FW_N_0)",[],[],[]
18,"do n't walk , run and buy this camera if you have the budget , i guarantee you will not be disappointed . ","have_VB_N_0(budget_NN_N_0,you_PRP_N_0,CC(buy_VB_N_0(camera_NN_N_0),walk_VB_N_0(run_NN_N_0)),guarantee_VB_P_1(be_VB_N_0(\X.disappointed_VB_Ne_1(X),you_PRP_N_0),i_FW_N_0))","['budget_NN_N_0', 'camera_NN_N_0', 'run_NN_N_0']","['budget', 'camera', 'run']","[0, 0, 0]"
19,i have taken hundreds of photos with it and i continue to be amazed by their quality . ,"CC(continue_VB_N_0(be_VB_N_0(quality_NN_N_0(\X.amazed_VB_P_1(X))),i_FW_N_0),have_VB_N_0(taken_VB_N_0(hundreds_NNS_N_0),i_LS_N_0))",['quality_NN_N_0'],['quality'],[0]
20,flaws ? ,flaws_NNS_Ne_1,[],[],[]
21,"despite this minor disappointment , i highly recommend the canon g3 anyone who is serious about digital photography . ","disappointment_NN_Ne_0(recommend_VB_P_1(seq(photography_NN_N_0,canon+g3+anyone_NN_N_0),i_FW_N_0))","['photography_NN_N_0', 'g3+anyone_NN_N_0']","['photography', 'g3 anyone']","[0, 0]"
22,the photo quality is amazing and i know i 'm going to have fun with all the features . ,"CC(know_VB_N_0(am_VB_N_0(going_VB_N_0(features_NNS_N_0(have_VB_N_0(fun_NN_P_1))),i_FW_N_0),i_FW_N_0),quality_NN_N_1)","['fun_NN_P_1', 'quality_NN_N_1']","['fun', 'quality']","[1, 0]"
23,"i 've figured out most of its features on my own already ( because i have used digital cameras before , so i know things like symbols ) . ","ve_FW_N_0(have_VB_N_0(know_VB_N_0(seq(symbols_NNS_N_0,things_NNS_N_0),i_FW_N_0,used_VB_N_0(cameras_NNS_N_0)),i_FW_N_0,figured_VB_N_0(most_JJ_N_0)),i_LS_N_0)",[],[],[]
24,"i 'm one of those people that can only concentrate on one screen at a time so i 've been having trouble paying attention to the little display panel on top , but that does n't stop me from loving this camera . ","CC(stop_VB_N_0(me_PRP_N_0,loving_VB_P_1(camera_NN_N_0),\x.x),am_VB_N_0(\x.x,i_LS_N_0))",['camera_NN_N_0'],['camera'],[0]
25,"the reason i rated it a four is because of that darn diopter adjustment dial. its very small and hard to turn so you can 't get an accurate adjustment ( for those of you who do n't know what a diopter adjustment is , it is to adjust the focus of the viewfinder to your eyesight . ) ","is_VB_N_0(\x.x,rated_VB_N_0(it_PRP_N_0,reason_NN_N_0,i_FW_N_0))",['reason_NN_N_0'],['reason'],[0]
26,i am going to have so much fun with this camera and when i learn more i will post a more accurate review . ,"CC(learn_VB_N_0(review_NN_N_1,i_FW_N_0),am_VB_N_0(going_VB_N_0(camera_NN_N_0(have_VB_N_0(fun_NN_P_0))),i_FW_N_0))","['review_NN_N_1', 'camera_NN_N_0', 'fun_NN_P_0']","['review', 'camera', 'fun']","[0, 0, 1]"
27,positives ,positives_NNS_P_1,[],[],[]
28,"1 ) slr like programming and exposure control gives you latitude to be creative , yet its progam and auto exposure settings provide excellent photos if you do n't want to bother with the settings . ","want_VB_N_0(bother_VB_Ne_1(settings_NNS_N_0),you_PRP_N_0,provide_VB_N_0(photos_NNS_N_1),CC(auto_NN_N_0,progam_NN_N_0,seq(exposure_NN_N_0,settings_NNS_N_0)),gives_VB_N_0(you_PRP_N_0,be_VB_N_0(latitude_NN_N_1),CC(exposure+control_NN_N_0,programming_NN_N_0,slr_NN_N_0)))","['auto_NN_N_0', 'progam_NN_N_0', 'exposure_NN_N_0', 'latitude_NN_N_1', 'exposure+control_NN_N_0', 'programming_NN_N_0', 'slr_NN_N_0']","['auto', 'progam', 'exposure', 'latitude', 'exposure control', 'programming', 'slr']","[0, 0, 0, 0, 0, 0, 0]"
29,excellent range of metering options as well . ,\x.x,[],[],[]
30,2 ) 4mp is about right for the target market of this camera ( semi-serious amateur photographer ) ,\x.x,[],[],[]
31,5 ) its focusing system is also very flexible . ,system_NN_N_2,['system_NN_N_2'],['system'],[0]
32,negatives ,negatives_NNS_Ne_1,[],[],[]
33,the camera has a wonderful set of features . ,"has_VB_N_0(set_NN_N_1,camera_NN_N_0)","['set_NN_N_1', 'camera_NN_N_0']","['set', 'camera']","[0, 0]"
34,the lcd screen pulls out and rotates in any direction for easy pictures . ,"CC(seq(pictures_NNS_N_1,direction_NN_N_0,\X.rotates_VB_N_0(X)),\X.pulls_VB_N_0(X),lcd+screen_NN_N_0)","['direction_NN_N_0', 'lcd+screen_NN_N_0']","['direction', 'lcd screen']","[0, 0]"
35,you can even take a picture of yourself while looking at the lcd . ,"looking_VB_N_0(lcd_NN_N_0,take_VB_N_0(picture_NN_N_0),you_PRP_N_0)","['lcd_NN_N_0', 'picture_NN_N_0']","['lcd', 'picture']","[0, 0]"
36,the optical zoom works great and the 14x digital zoom is a very nice addition although pictures at the highest digital zoom are a little blurry . ,"CC(seq(zoom_NN_N_0,pictures_NNS_N_1,is_VB_N_0(addition_NN_N_2),seq(14x_NN_N_0,zoom_NN_N_0)),zoom_NN_N_1)","['zoom_NN_N_0', 'addition_NN_N_2', '14x_NN_N_0', 'zoom_NN_N_0', 'zoom_NN_N_1']","['zoom', 'addition', '14x', 'zoom', 'zoom']","[0, 0, 0, 0, 0]"
37,the only two minor issues i have with the camera are the lens cap ( it is not very snug and can come off too easily ) and the lens itself ( it partially obstructs the view through the viewfinder but not views through the lcd ) . ,"are_VB_N_0(CC(CC(\x.x,viewfinder_NN_N_0(obstructs_VB_Ne_1(view_NN_N_0)),itself_PRP_N_0(lens_NN_N_0),it_PRP_N_0),it_PRP_N_0(CC(\X.come_VB_N_0(X),lens+cap_NN_N_0))),camera_NN_N_0(\X.have_VB_N_0(X),issues_NNS_Ne_0,i_FW_N_0))","['viewfinder_NN_N_0', 'view_NN_N_0', 'lens_NN_N_0', 'lens+cap_NN_N_0', 'camera_NN_N_0']","['viewfinder', 'view', 'lens', 'lens cap', 'camera']","[0, 0, 0, 0, 0]"
38,it is a fantastic camera and well worth the price . ,"is_VB_N_0(CC(\x.x,camera_NN_N_1),it_PRP_N_0)",['camera_NN_N_1'],['camera'],[0]
39,advanced photobugs will find more creative control than imaginable . ,"find_VB_N_0(control_NN_N_0,photobugs_NNS_N_1)",['control_NN_N_0'],['control'],[0]
40,newbies will find the full auto setting will give them perfect pictures right out of the box . ,"find_VB_N_0(give_VB_N_0(them_PRP_N_0,\x.x,auto+setting_NN_N_0),newbies_NNS_N_0)",['auto+setting_NN_N_0'],['auto setting'],[0]
41,4 megapixels is enough for anybody and the photo quality is awesome . ,"CC(quality_NN_N_1,megapixels_NNS_N_0)",['quality_NN_N_1'],['quality'],[0]
42,do n't get fooled by the 5 megapixel marketing hype . ,get_VB_N_0(megapixel+marketing+hype_NN_N_0(\X.fooled_VB_Ne_1(X))),['marketing+hype_NN_N_0'],['marketing hype'],[0]
43,"unless you want to print murals , you do n't need it . ","want_VB_N_0(print_VB_N_0(murals_NNS_N_0),you_PRP_N_0,need_VB_N_0(it_PRP_N_0,you_PRP_N_0))",[],[],[]
44,the extended zoom range and faster lense put it at the top of it 's class . ,"put_VB_N_0(it_PRP_N_0,top_NN_P_1,CC(lense_NN_N_1,zoom+range_NN_N_0))","['top_NN_P_1', 'lense_NN_N_1', 'zoom+range_NN_N_0']","['top', 'lense', 'zoom range']","[1, 0, 0]"
45,i expect the g3 will please me for years to come . ,"expect_VB_N_0(come_VB_N_0(years_NNS_N_0,please_VB_N_0(me_PRP_N_0),g3_NN_N_0),i_LS_N_0)",['g3_NN_N_0'],['g3'],[0]
46,i began taking pics as soon as i got this camera and am amazed at the quality of photos i have took simply by using the auto mode . ,"CC(am_VB_N_0(amazed_VB_P_1(have_VB_N_0(using_VB_N_0(auto+mode_NN_N_0,\X.took_VB_N_0(X)),quality_NN_N_0,i_FW_N_0))),began_VB_N_0(taking_VB_N_0(pics_NNS_N_0)),i_LS_N_0)","['auto+mode_NN_N_0', 'quality_NN_N_0']","['auto mode', 'quality']","[0, 0]"
47,absolutely breathtaking . ,breathtaking_JJ_P_1(absolutely_RB_I),[],[],[]
48,i was considering the olympus camedia c-5050 but was convinced to buy the g3 after visiting a store and holding it in my hands and trying it out . ,"CC(was_VB_N_0(convinced_VB_N_0(CC(CC(trying_VB_N_0(it_PRP_N_0),hands_NNS_N_0(holding_VB_N_0(it_PRP_N_0))),visiting_VB_N_0(store_NN_N_0),buy_VB_N_0(g3_NN_N_0)))),was_VB_N_0(considering_VB_N_0(olympus+camedia+c5050_NN_N_0)),i_LS_N_0)","['store_NN_N_0', 'g3_NN_N_0', 'camedia+c5050_NN_N_0']","['store', 'g3', 'camedia c5050']","[0, 0, 0]"
49,"the olympus is a bit clumsy-looking and the user-interface not as friendly as the canon , but one of the features that sold me on the g3 was the battery life - no other camera out there gives you the type of battery life as the canon g3 . ","CC(was_VB_N_0(battery+life_NN_N_0,\x.x,\x.x),is_VB_N_0(CC(userinterface_NN_N_0,bit+clumsylooking_NN_N_0),olympus_NN_N_0))","['battery+life_NN_N_0', 'userinterface_NN_N_0', 'bit+clumsylooking_NN_N_0', 'olympus_NN_N_0']","['battery life', 'userinterface', 'bit clumsylooking', 'olympus']","[0, 0, 0, 0]"
50,"i would recommend a larger compact-flash card , at least 128 mb . ","card_NN_N_0(\x.x,i_LS_N_0,mb_NN_N_0)","['card_NN_N_0', 'mb_NN_N_0']","['card', 'mb']","[0, 0]"
51,what else can you say about a camera that works for both of you ? ,"you_PRP_N_0(works_VB_P_1(camera_NN_N_0,\X.say_VB_N_0(X)))",['camera_NN_N_0'],['camera'],[0]
52,"at the same time , i wanted my wife to not be intimidated by knobs and buttons . ","time_NN_N_0(wanted_VB_N_0(wife_NN_N_0,be_VB_N_0(CC(buttons_NNS_N_0,knobs_NNS_N_0,\X.intimidated_VB_N_0(X))),i_FW_N_0))","['time_NN_N_0', 'wife_NN_N_0']","['time', 'wife']","[0, 0]"
53,"i recieved the camera , inserted a larger cf card , charged the battery , and handed it to my wife . ","CC(handed_VB_N_0(it_PRP_N_0,wife_NN_N_0),recieved_VB_N_0(inserted_VB_N_0(charged_VB_N_0(battery_NN_N_0,cf+card_NN_N_0),camera_NN_N_0)),i_LS_N_0)","['wife_NN_N_0', 'battery_NN_N_0', 'cf+card_NN_N_0', 'camera_NN_N_0']","['wife', 'battery', 'cf card', 'camera']","[0, 0, 0, 0]"
54,"i showed her how to turn it on , where the lens zoom lever is , and she loves it ! ","CC(loves_VB_P_1(it_PRP_N_0,she_PRP_N_0),showed_VB_N_0(\x.x,is_VB_N_0(seq(lens_NN_N_0,zoom+lever_NN_N_0),turn_VB_N_0(it_PRP_N_0)),i_LS_N_0))","['lens_NN_N_0', 'zoom+lever_NN_N_0']","['lens', 'zoom lever']","[0, 0]"
55,"this camera has canon 's great colorimetry , plus what you see in the lcd is what you get . ","CC(is_VB_N_0(\x.get_VB_N_0(x,you_PRP_N_0),\x.lcd_NN_N_0(\X.see_VB_N_0(X),x,you_PRP_N_0)),has_VB_N_0(canon_VB_N_0(colorimetry_NN_N_1),camera_NN_N_0))","['lcd_NN_N_0', 'colorimetry_NN_N_1', 'camera_NN_N_0']","['lcd', 'colorimetry', 'camera']","[0, 0, 0]"
56,the prints are beautiful ! ,prints_NNS_N_1,[],[],[]
57,"i tried out some other brands in the stores , and was disappointed by the battery life of the other company ; plus what you see in the lcd ( no optical finder ) is n't what you get - not even for color ; the output was less than i expected . ","CC(disappointed_VB_Ne_1(CC(\x.lcd_NN_N_0(is_VB_N_0(\x.color_NN_N_0(expected_VB_N_0(i_FW_N_0,output_NN_N_0),\X.get_VB_N_0(X),x,you_PRP_N_0),finder_NN_N_0),\X.see_VB_N_0(X),x,you_PRP_N_0),battery+life_NN_N_0)),stores_NNS_N_0(tried_VB_N_0(brands_NNS_N_0)),i_LS_N_0)","['lcd_NN_N_0', 'color_NN_N_0', 'output_NN_N_0', 'finder_NN_N_0', 'battery+life_NN_N_0']","['lcd', 'color', 'output', 'finder', 'battery life']","[0, 0, 0, 0, 0]"
58,this is a great camera for you ! ,"is_VB_N_0(you_PRP_N_0(camera_NN_N_1),\x.x)",['camera_NN_N_1'],['camera'],[0]
59,i can hand this to anyone and know they will take some great photos ! ,"CC(know_VB_N_0(take_VB_N_0(photos_NNS_N_1,they_PRP_N_0)),hand_VB_N_0(\x.x,anyone_NN_N_0),i_LS_N_0)",['anyone_NN_N_0'],['anyone'],[0]
60,"i love having the option to manually control the f-stop , shutter speed and even focus . ","love_NN_P_1(having_VB_N_0(CC(\X.focus_VB_N_0(X),control_VB_N_0(shutter+speed_NN_N_0),option_NN_N_0)),i_LS_N_0)","['love_NN_P_1', 'shutter+speed_NN_N_0', 'option_NN_N_0']","['love', 'shutter speed', 'option']","[1, 0, 0]"
61,"i was able to take great photos of the 4th of july fire works , and got some amazing shots of the kids playing with sparklers . ","CC(got_VB_N_0(shots_NNS_N_1),photos_NNS_N_0,i_LS_N_0)",[],[],[]
62,warning - i did read the manual ! ,"warning_VB_Ne_1(did_VB_N_0(read_VB_N_0(manual_NN_N_0),i_FW_N_0))",['manual_NN_N_0'],['manual'],[0]
63,it does n't do you any good if a camera has all the features but you can 't access them quickly when you need them ! ,"CC(t_NN_N_0(need_VB_N_0(them_PRP_N_0,you_PRP_N_0,\x.x),you_PRP_N_0),has_VB_N_0(features_NNS_N_0,camera_NN_N_0,good_JJ_P_1(do_VB_N_0(you_PRP_N_0)),it_PRP_N_0))","['t_NN_N_0', 'camera_NN_N_0']","['t', 'camera']","[0, 0]"
64,"you feel like you are holding something of substance , not some cheap plastic toy . ","feel_VB_N_0(are_VB_N_0(holding_VB_N_0(something_NN_N_0),you_PRP_N_0),you_PRP_N_0)",['something_NN_N_0'],['something'],[0]
65,"the more i work with it , the more i love it ! ","love_VB_P_1(it_PRP_N_0,i_FW_N_0)",[],[],[]
66,i did n't think i would find this quality and ease of use for under $ 1500 - i 'm thrilled with my purchase ! ,"think_VB_N_0(find_VB_N_0(CC(ease_NN_P_1,quality_NN_N_0),i_FW_N_0),i_LS_N_0)","['ease_NN_P_1', 'quality_NN_N_0']","['ease', 'quality']","[1, 0]"
67,four megapixels is great . ,megapixels_NNS_N_1,[],[],[]
68,"i know there are five mp cameras out there , but this thing does just fine for me . ","CC(me_PRP_N_0(thing_NN_N_1),know_VB_N_0(are_VB_N_0(seq(mp_NN_N_0,cameras_NNS_N_0),\x.x),i_FW_N_0))","['thing_NN_N_1', 'mp_NN_N_0']","['thing', 'mp']","[0, 0]"
69,"if you want , check out the canon website and they have some sample images , taken by this camera , for you to download . ","CC(you_PRP_N_0(\X.download_VB_N_0(X),have_VB_N_0(camera_NN_N_0(\X.taken_VB_N_0(X),seq(sample_NN_N_0,images_NNS_N_0))),they_PRP_N_0),want_VB_N_0(check_VB_N_0(canon+website_NN_N_0),you_PRP_N_0))","['camera_NN_N_0', 'sample_NN_N_0', 'canon+website_NN_N_0']","['camera', 'sample', 'canon website']","[0, 0, 0]"
70,"if you are looking for a very simple point and shoot camera , this is probably not what you are looking for . ","are_VB_N_0(looking_VB_N_0(CC(shoot_VB_N_0(camera_NN_N_0),point_NN_N_0)),you_PRP_N_0,is_VB_N_0(\x.are_VB_N_0(looking_VB_N_0(\x.x),x,you_PRP_N_0),\x.x))","['camera_NN_N_0', 'point_NN_N_0']","['camera', 'point']","[0, 0]"
71,it is a very amazing product . ,"is_VB_N_0(product_NN_N_2,it_PRP_N_0)",['product_NN_N_2'],['product'],[0]
72,i highly recommend it . ,"recommend_VB_P_1(it_PRP_N_0,i_LS_N_0)",[],[],[]
73,just received this camera two days ago and already love the features it has . ,"CC(love_VB_P_1(has_VB_N_0(features_NNS_N_0,it_PRP_N_0)),received_VB_N_0(camera_NN_N_0),just_RB_N)",['camera_NN_N_0'],['camera'],[0]
74,takes excellent photos . ,takes_VB_N_0(photos_NNS_N_1),[],[],[]
75,night mode is clear as day . ,day_NN_N_0(night+mode_NN_N_1),"['day_NN_N_0', 'night+mode_NN_N_1']","['day', 'night mode']","[0, 0]"
76,the only drawback is the viewfinder is slightly blocked by the lens . ,"is_VB_N_0(is_VB_N_0(lens_NN_N_0(\X.blocked_VB_N_0(X)),viewfinder_NN_N_0),drawback_NN_Ne_0)","['lens_NN_N_0', 'viewfinder_NN_N_0']","['lens', 'viewfinder']","[0, 0]"
77,"however , using the lcd seems to eliminate this minor problem . ","seems_VB_N_0(eliminate_VB_N_0(problem_NN_Ne_0),using_VB_N_0(lcd_NN_N_0))",['lcd_NN_N_0'],['lcd'],[0]
78,i give it 10 stars ! ,"give_VB_N_0(it_PRP_N_0,stars_NNS_N_0,i_LS_N_0)",[],[],[]
79,this camera has significantly more noise at iso 100 than the nikon 4500 . ,"iso_NN_N_0(\x.x,has_VB_N_0(\x.x),camera_NN_N_0)","['iso_NN_N_0', 'camera_NN_N_0']","['iso', 'camera']","[0, 0]"
80,i just bought the camera a few days ago . ,"days_NNS_N_0(bought_VB_N_0(camera_NN_N_0),i_LS_N_0)",['camera_NN_N_0'],['camera'],[0]
81,"before i "" get used to it "" , here are my first feelings : ","get_VB_N_0(used_VB_N_0(it_PRP_N_0),i_FW_N_0,are_VB_N_0(feelings_NNS_N_0))",[],[],[]
82,"b ) the lens cover is surely loose , i already accidently finger-printed the len a few times , and au lens tigt and cause potential damage . ","seq(b_NN_N_0,lens+cover_NN_N_1,CC(cause_VB_N_0(damage_NN_Ne_0),fingerprinted_VB_N_0(CC(seq(tigt_NN_N_0,au+lens_NN_N_0),seq(times_NNS_N_0,len_NN_N_0))),i_FW_N_0))","['b_NN_N_0', 'lens+cover_NN_N_1', 'tigt_NN_N_0', 'au+lens_NN_N_0', 'len_NN_N_0']","['b', 'lens cover', 'tigt', 'au lens', 'len']","[0, 0, 0, 0, 0]"
83,i wish canon would work out some way for that issue . ,"wish_NN_N_0(issue_NN_Ne_1(work_VB_P_1(way_NN_N_0),canon_NN_N_0),i_LS_N_0)","['wish_NN_N_0', 'way_NN_N_0', 'canon_NN_N_0']","['wish', 'way', 'canon']","[0, 0, 0]"
84,i bought this last week through amazon . ,"amazon_NN_N_0(bought_VB_N_0(week_NN_N_0),i_LS_N_0)","['amazon_NN_N_0', 'week_NN_N_0']","['amazon', 'week']","[0, 0]"
85,got a great deal from a reputable seller . ,"got_VB_N_0(seq(seller_NN_N_1,deal_NN_N_1))","['seller_NN_N_1', 'deal_NN_N_1']","['seller', 'deal']","[0, 0]"
86,i love this camera . ,"seq(love_NN_P_1,camera_NN_N_0,i_LS_N_0)","['love_NN_P_1', 'camera_NN_N_0']","['love', 'camera']","[1, 0]"
87,i am still trying to figure out the may options it has . ,"trying_VB_N_0(figure_VB_N_0(has_VB_N_0(options_NNS_N_0,it_PRP_N_0)),i_FW_N_0)",[],[],[]
88,has 4x optical zoom which is higher than any other in the same price range . ,"has_VB_N_0(price+range_NN_N_0(4x_NN_N_0,zoom_NN_N_0))","['price+range_NN_N_0', '4x_NN_N_0', 'zoom_NN_N_0']","['price range', '4x', 'zoom']","[0, 0, 0]"
89,it is generally overpriced a little bit but you get what you are paying for . ,"CC(get_VB_N_0(\x.are_VB_N_0(paying_VB_N_0(\x.x),x,you_PRP_N_0),you_PRP_N_0),bit_NN_N_0(\X.overpriced_VB_Ne_1(X),it_PRP_N_0))",['bit_NN_N_0'],['bit'],[0]
90,it was ( i sold it after a few months ) too expensive for the shots that i got . ,"was_VB_N_0(got_VB_N_0(shots_NNS_N_0,i_FW_N_0,months_NNS_N_2(sold_VB_N_0(it_PRP_N_0)),i_FW_N_0),it_PRP_N_0)",[],[],[]
91,i do n't think i was asking too much . ,"think_VB_N_0(was_VB_N_0(asking_VB_N_0(much_RB_N),i_FW_N_0),i_LS_N_0)",[],[],[]
92,any film zoom p and s would have given superior results with a minimal effort . ,"have_VB_N_0(effort_NN_N_0(given_VB_N_0(results_NNS_N_1)),film_NN_N_0(zoom_NN_N_0(CC(s_NNS_N_0,p_NN_N_0))))","['effort_NN_N_0', 'film_NN_N_0', 'zoom_NN_N_0', 'p_NN_N_0']","['effort', 'film', 'zoom', 'p']","[0, 0, 0, 0]"
93,i found that low light situations combined with any sort of action left this camera in the dust . ,"found_VB_N_0(dust_NN_Ne_1(left_VB_N_0(camera_NN_N_0),combined_VB_N_0(sort_NN_N_0,situations_NNS_N_0)),i_LS_N_0)","['camera_NN_N_0', 'sort_NN_N_0']","['camera', 'sort']","[0, 0]"
94,i wanted it to shoot concerts as well . ,"wanted_VB_N_0(it_PRP_N_0,shoot_VB_N_0(concerts_NNS_N_0),i_LS_N_0)",[],[],[]
95,that meant even less light and just as much action . ,"meant_VB_N_0(CC(action_NN_N_0,light_JJ_N_0),\x.x)",['action_NN_N_0'],['action'],[0]
96,the grain was terrible . ,grain_NN_N_1,['grain_NN_N_1'],['grain'],[0]
97,"when i took outdoor photos with plenty of light and the objects were n't moving , the photos were awesome . ","CC(moving_VB_N_0(objects_NNS_N_0),plenty_NN_N_0(took_VB_N_0(photos_NNS_N_0),i_FW_N_0),photos_NNS_N_1)",['plenty_NN_N_0'],['plenty'],[0]
