,sentence,lambda,raw_aspect,aspect,sentiment
98,the camera was a marvel . ,"was_VB_N_0(\X.marvel_VB_P_1(X),camera_NN_N_0)",['camera_NN_N_0'],['camera'],[0]
99,getting the printer to help output them was another tale . ,"was_VB_N_0(tale_NN_N_0,getting_VB_N_0(printer_NN_N_0,help_VB_N_0(output_NN_N_0(them_PRP_N_0))))","['tale_NN_N_0', 'printer_NN_N_0', 'output_NN_N_0']","['tale', 'printer', 'output']","[0, 0, 0]"
100,you do n't need the extra resolution or the cost . ,"need_VB_N_0(CC(cost_NN_N_0,resolution_NN_N_0),you_PRP_N_0)","['cost_NN_N_0', 'resolution_NN_N_0']","['cost', 'resolution']","[0, 0]"
101,"if you shoot in lots of light and desire high quality , this will be your camera . ","CC(seq(desire_NN_N_0,quality_NN_N_0),lots_NNS_N_0(\X.shoot_VB_N_0(X)),you_PRP_N_0,be_VB_N_0(camera_NN_N_0,\x.x))","['desire_NN_N_0', 'quality_NN_N_0', 'camera_NN_N_0']","['desire', 'quality', 'camera']","[0, 0, 0]"
102,it is versatile and seems to be one of the best . ,"CC(seems_VB_N_0(be_VB_N_0(\x.x)),versatile_JJ_P_1,it_PRP_N_0)",[],[],[]
103,"me , i am going with a leica minilux ( the g3 was replacing mine which was stolen ) . ","was_VB_N_0(replacing_VB_N_0(was_VB_N_0(\X.stolen_VB_Ne_1(X),mine_NN_N_0)),am_VB_N_0(seq(g3_NN_N_0,leica+minilux_NN_N_0,\X.going_VB_N_0(X)),me_PRP_N_0,i_FW_N_0))","['mine_NN_N_0', 'g3_NN_N_0', 'leica+minilux_NN_N_0']","['mine', 'g3', 'leica minilux']","[0, 0, 0]"
104,sure . ,fail_RB_N,[],[],[]
105,"it is less versatile , but i am never disappointed with the output . ","CC(disappointed_VB_P_1(output_NN_N_0,i_FW_N_0),versatile_JJ_P_1(it_PRP_N_0))",['output_NN_N_0'],['output'],[0]
106,"i have been watching the development of digicams for years , waiting to make my first move . ","have_VB_N_0(been_VB_N_0(waiting_VB_N_0(make_VB_N_0(move_NN_N_0),years_NNS_N_0,watching_VB_N_0(development_NN_N_0))),i_LS_N_0)","['move_NN_N_0', 'development_NN_N_0']","['move', 'development']","[0, 0]"
107,"what i really want is a $ 1,500 digital slr with a full frame sensor that will take my nikon lenses . ","is_VB_N_0(take_VB_N_0(seq(nikon_NN_N_0,lenses_NNS_N_0),frame+sensor_NN_N_0,slr_NN_N_0),\x.want_VB_N_0(x,i_FW_N_0))","['nikon_NN_N_0', 'frame+sensor_NN_N_0', 'slr_NN_N_0']","['nikon', 'frame sensor', 'slr']","[0, 0, 0]"
108,"the two limitations i knew i would have to deal with are the very long lag time before it focus-locks ( even in bright light ) , and the unsatisfactory light quality of the built-in flash . ","are_VB_N_0(focuslocks_VB_N_0(it_PRP_N_0,lag+time_NN_N_0),knew_VB_N_0(\x.have_VB_N_0(deal_VB_N_0(\x.x),x,i_FW_N_0),limitations_NNS_Ne_1,i_FW_N_0))",['lag+time_NN_N_0'],['lag time'],[0]
109,"as of this writing , technology has not solved the focus-lock lag time problem for point-and-shoot digicams and anyone who is satisfied with it simply has never used a modern film slr . ","CC(used_VB_N_0(film+slr_NN_N_1,is_VB_N_0(satisfied_VB_P_1(it_PRP_N_0),anyone_NN_N_0)),solved_VB_N_0(seq(pointandshoot_NN_N_0,digicams_NNS_N_0,seq(focuslock_NN_N_0,lag+time+problem_NN_N_0)),\x.x))","['film+slr_NN_N_1', 'anyone_NN_N_0', 'pointandshoot_NN_N_0', 'focuslock_NN_N_0', 'time+problem_NN_N_0']","['film slr', 'anyone', 'pointandshoot', 'focuslock', 'time problem']","[0, 0, 0, 0, 0]"
110,what makes the focus-lock lag time something i can live with is the extreme depth of field obtainable with these point and shoot digicams at f8 . ,"CC(f8_NN_N_0(shoot_VB_N_0(digicams_NNS_N_0)),is_VB_N_0(point_NN_N_0(depth_NN_N_1)),makes_VB_N_0(focuslock+lag+time_NN_N_0,live_VB_N_0(\x.x,something_NN_N_0,i_FW_N_0)))","['f8_NN_N_0', 'point_NN_N_0', 'depth_NN_N_1', 'lag+time_NN_N_0', 'something_NN_N_0']","['f8', 'point', 'depth', 'lag time', 'something']","[0, 0, 0, 0, 0]"
111,"for those who have this metz flash ( or the 45cl-3 ) and would like to get the absolute ultimate quality out of this g3 , the metz module you need is the sca 3102 and the connector cord is the sca 3000c . ","CC(like_VB_P_1(get_VB_N_0(quality_NN_N_0)),have_VB_N_0(CC(45cl3_NN_N_0,metz+flash_NN_N_0)),\x.x,CC(is_VB_N_0(sca_NN_N_0(\x.x),connector+cord_NN_N_0),is_VB_N_0(sca_NN_N_0(\x.x),need_VB_N_0(metz+module_NN_N_0,you_PRP_N_0))))","['quality_NN_N_0', '45cl3_NN_N_0', 'metz+flash_NN_N_0', 'sca_NN_N_0', 'connector+cord_NN_N_0', 'sca_NN_N_0', 'metz+module_NN_N_0']","['quality', '45cl3', 'metz flash', 'sca', 'connector cord', 'sca', 'metz module']","[0, 0, 0, 0, 0, 0, 0]"
112,"contrary to what ive read elsewhere , the g3 does sync at 1/250 of a second with third-party flashes , just as it does with the dedicated flashes from canon . ","does_VB_N_0(seq(canon_NN_N_0,flashes_NNS_N_1,\X.does_VB_N_0(X),it_PRP_N_0,sync_NN_N_0(\x.x)),contrary_JJ_N_0(\x.read_VB_N_0(x,ive_RB_N)))","['canon_NN_N_0', 'sync_NN_N_0']","['canon', 'sync']","[0, 0]"
113,"the g3 completely takes over controlling the duration of the metz flash , and most of the time , the exposure is spot on and when it isnt , its because youve exceeded the range of the metz flash itself . ","takes_VB_N_0(controlling_VB_N_0(CC(duration_NN_N_0)),g3_NN_N_0)","['duration_NN_N_0', 'g3_NN_N_0']","['duration', 'g3']","[0, 0]"
114,"this might happen if you get too close to the subject and you are not bounce-flashing , or if you are bounce flashing and the walls are simply too far away . ","CC(CC(\x.x,are_VB_N_0(bounce_VB_N_0(\X.flashing_VB_N_0(X)),you_PRP_N_0)),CC(bounceflashing_VB_N_0(you_PRP_N_0),seq(close_JJ_N_0,subject_JJ_N_0,you_PRP_N_0)),\X.happen_VB_N_0(X),\x.x)",[],[],[]
115,the second problem is solved by more direct lighting from the metz ( with the attendant shadows unfortunately ) . ,"is_VB_N_0(shadows_NNS_N_0(metz_NN_N_0(seq(lighting_NN_N_0)),\X.solved_VB_N_0(X)),problem_NN_Ne_0)","['metz_NN_N_0', 'lighting_NN_N_0']","['metz', 'lighting']","[0, 0]"
116,the results are shadow-free images that look as if theyve been exposed with the gentlest natural light you could imagine . ,"are_VB_N_0(look_VB_N_0(images_NNS_N_0),results_NNS_N_0)",[],[],[]
117,i believe this is enabled by a second file that comes out of the camera that stores all this information . ,"believe_VB_N_0(is_VB_N_0(seq(stores_NNS_N_0,information_NN_N_0,comes_VB_N_0(file_NN_N_0),\X.enabled_VB_N_0(X)),\x.x),i_LS_N_0)","['information_NN_N_0', 'file_NN_N_0']","['information', 'file']","[0, 0]"
118,i didnt wait to experiment . ,"didnt_FW_N_0(wait_VB_N_0(experiment_NN_N_0),i_FW_N_0)",['experiment_NN_N_0'],['experiment'],[0]
119,what this plug-in reveals is the truly stunning quality of the raw g3 hardware . ,"is_VB_N_0(quality_NN_N_1,\x.reveals_VB_N_0(x,plugin_NN_N_0))","['quality_NN_N_1', 'plugin_NN_N_0']","['quality', 'plugin']","[0, 0]"
120,the adobe camera raw plug-in shows once again that hardware is miles ahead of software . ,"shows_VB_N_0(is_VB_N_0(\x.x,hardware_NN_N_0),adobe_NN_N_0(seq(camera_NN_N_0,plugin_NN_N_0)))","['hardware_NN_N_0', 'adobe_NN_N_0', 'camera_NN_N_0', 'plugin_NN_N_0']","['hardware', 'adobe', 'camera', 'plugin']","[0, 0, 0, 0]"
121,what the g3 raw image software gives you is a fantasy world designed to please the uncritical . ,"is_VB_N_0(designed_VB_N_0(please_VB_N_0(fantasy+world_NN_N_0)),\x.gives_VB_N_0(you_PRP_N_0,x,seq(g3_NN_N_0,image+software_NN_N_0)))","['fantasy+world_NN_N_0', 'g3_NN_N_0', 'image+software_NN_N_0']","['fantasy world', 'g3', 'image software']","[0, 0, 0]"
122,"i am stunned and amazed at the quality of the raw images i am getting from this g3 ( in conjunction with my professional flash system ) , and can easily put up with the cameras limitations , because ive never seen anything better within its resolution limits . ","CC(seq(resolution_NN_N_0,limits_NNS_Ne_1,seen_VB_N_0(anything_NN_N_1),cameras_NNS_N_0,limitations_NNS_Ne_0),am_VB_N_0(quality_NN_N_0(CC(\X.amazed_VB_P_1(X),stunned_JJ_P_1))),i_FW_N_0)","['resolution_NN_N_0', 'anything_NN_N_1', 'quality_NN_N_0']","['resolution', 'anything', 'quality']","[0, 0, 0]"
123,"i 've had this for 3 months now , and i am pleased with my decision . ","CC(pleased_VB_P_1(decision_NN_N_0,i_FW_N_0),ve_FW_N_0(months_NNS_N_0(had_VB_N_0(\x.x)),i_FW_N_0))",['decision_NN_N_0'],['decision'],[0]
124,this is the perfect camera for a photo hobbiest who wants to have easy point and shoot ability as well . ,"is_VB_N_0(wants_VB_N_0(CC(seq(shoot_NN_N_0,ability_NN_N_0),have_VB_N_0(point_NN_N_1)),photo+hobbiest_NN_N_0,camera_NN_N_1),\x.x)","['shoot_NN_N_0', 'ability_NN_N_0', 'point_NN_N_1', 'photo+hobbiest_NN_N_0', 'camera_NN_N_1']","['shoot', 'ability', 'point', 'photo hobbiest', 'camera']","[0, 0, 0, 0, 0]"
125,my girlfriend loved using this camera so much as a point and shoot that i had to pry it out of her hands most of the time . ,"CC(shoot_VB_N_0(had_VB_N_0(camera_NN_N_0)),girlfriend_NN_N_0)","['camera_NN_N_0', 'girlfriend_NN_N_0']","['camera', 'girlfriend']","[0, 0]"
126,"battery life , the drawback to most digital cameras , to quote k. reeves . ","quote_VB_N_0(seq(k_NN_N_0,reeves_NNS_N_0),\x.x,seq(drawback_NN_Ne_1,battery+life_NN_N_0))","['k_NN_N_0', 'battery+life_NN_N_0']","['k', 'battery life']","[0, 0]"
127,whoa . ,whoa_NN_P_1,['whoa_NN_P_1'],['whoa'],[1]
128,"i did a good month 's worth of research before buying this over other similar priced digital cameras , and this is the best buy for the buck . ","CC(is_VB_N_0(seq(buck_NN_N_0,buy_NN_N_1),\x.x),cameras_NNS_N_0(buying_VB_N_0(\x.x),did_VB_N_0(worth_NN_P_1(\x.x,month_NN_N_1)),i_LS_N_0))","['buck_NN_N_0', 'buy_NN_N_1', 'worth_NN_P_1', 'month_NN_N_1']","['buck', 'buy', 'worth', 'month']","[0, 0, 1, 0]"
129,"or save time and just do it , you won't regret it . ","CC(CC(do_VB_N_0(it_PRP_N_0),save_VB_N_0(time_NN_N_0)),wonot_VB_N_0(regret_VB_Ne_1(it_PRP_N_0),you_PRP_N_0))",['time_NN_N_0'],['time'],[0]
130,"after reading the very positive review of this camera in a leading consumer magazine , i decided to head here , to amazon , to read through the online reviews . ","consumer+magazine_NN_N_1(reading_VB_N_0(review_NN_N_2),decided_VB_N_0(reviews_NNS_N_0(\X.read_VB_N_0(X),\X.amazon_VB_N_0(X),\X.head_VB_N_0(X)),i_FW_N_0))","['consumer+magazine_NN_N_1', 'review_NN_N_2']","['consumer magazine', 'review']","[0, 0]"
131,"the objections of the naysayers almost caused me to purchase a different camera , but , in the end , i figured i 'd give the g3 a try . ","CC(end_NN_N_0(figured_VB_N_0(d_FW_N_0(give_VB_N_0(g3_NN_N_0,try_NN_N_0),i_FW_N_0),i_FW_N_0)),caused_VB_N_0(me_PRP_N_0,purchase_VB_N_0(camera_NN_N_0),objections_NNS_Ne_1))","['end_NN_N_0', 'g3_NN_N_0', 'try_NN_N_0', 'camera_NN_N_0']","['end', 'g3', 'try', 'camera']","[0, 0, 0, 0]"
132,i 'm very glad i did . ,"glad_JJ_P_2(did_VB_N_0(i_FW_N_0),i_FW_N_0)",[],[],[]
133,the camera arrived on time and in perfect condition . ,"CC(condition_NN_N_1,time_NN_N_0,\X.arrived_VB_N_0(X),camera_NN_N_0)","['condition_NN_N_1', 'time_NN_N_0', 'camera_NN_N_0']","['condition', 'time', 'camera']","[0, 0, 0]"
134,"having used it for more than a month , i can say that it consistently produces topnotch photos . ","having_VB_N_0(month_NN_N_0(\x.x,used_VB_N_0(it_PRP_N_0)),say_VB_N_0(produces_VB_N_0(photos_NNS_N_1,it_PRP_N_0),i_FW_N_0))",['month_NN_N_0'],['month'],[0]
135,-- an event that involves dogs running and jumping hurdles . ,"involves_VB_N_0(CC(\X.jumping_VB_N_0(X),\X.running_VB_N_0(X),hurdles_NNS_N_0,dogs_NNS_N_0),event_NN_N_0)",['event_NN_N_0'],['event'],[0]
136,"the camera is a dream to operate in automode , but also gives tremendous flexibility in aperture priority , shutter priority , and manual modes . ","CC(aperture_NN_N_0(priority_NN_N_0(shutter_NN_N_0(CC(modes_NNS_N_0,priority_NN_N_0))),gives_VB_N_0(flexibility_NN_P_0)),is_VB_N_0(automode_NN_N_0(\X.operate_VB_N_0(X),dream_NN_N_0)),camera_NN_N_0)","['aperture_NN_N_0', 'priority_NN_N_0', 'shutter_NN_N_0', 'priority_NN_N_0', 'flexibility_NN_P_0', 'automode_NN_N_0', 'dream_NN_N_0', 'camera_NN_N_0']","['aperture', 'priority', 'shutter', 'priority', 'flexibility', 'automode', 'dream', 'camera']","[0, 0, 0, 0, 1, 0, 0, 0]"
137,about the only legitimate criticsm from the online reviews is that fact that the lens really does obstruct the viewfinder . ,"is_VB_N_0(fact_NN_N_0(does_VB_N_0(obstruct_VB_Ne_1(viewfinder_NN_N_0),lens_NN_N_0)),seq(reviews_NNS_N_0,criticsm_NN_N_0))","['fact_NN_N_0', 'viewfinder_NN_N_0', 'lens_NN_N_0', 'criticsm_NN_N_0']","['fact', 'viewfinder', 'lens', 'criticsm']","[0, 0, 0, 0]"
138,this effect is increased when one buys and uses a telephoto doubler . ,"is_VB_N_0(CC(\X.uses_VB_N_0(X),\X.buys_VB_N_0(X),telephoto+doubler_NN_N_0,\x.x,\X.increased_VB_N_0(X)),effect_NN_N_0)","['telephoto+doubler_NN_N_0', 'effect_NN_N_0']","['telephoto doubler', 'effect']","[0, 0]"
139,i always shoot using the lcd panel . ,"shoot_VB_N_0(using_VB_N_0(lcd+panel_NN_N_0),i_LS_N_0)",['lcd+panel_NN_N_0'],['lcd panel'],[0]
140,i can 't write enough positive things about this great little camera ! ,"t_NN_N_0(write_VB_N_0(camera_NN_N_1(\x.x)),i_LS_N_0)","['t_NN_N_0', 'camera_NN_N_1']","['t', 'camera']","[0, 0]"
141,"being a great fan of the g2 i set out with g3 with a somewhat negative expectation , difficult as it is to improve drastically on something already as ' perfect ' as the powershot g2 . ","being_VB_N_0(fan_NN_N_1,\x.is_VB_N_0(something_NN_N_0(\X.improve_VB_P_1(X)),it_PRP_N_0,expectation_NN_N_1(g3_NN_N_0(\X.set_VB_N_0(X))),x,i_FW_N_0),g2_NN_N_0)","['fan_NN_N_1', 'something_NN_N_0', 'expectation_NN_N_1', 'g3_NN_N_0', 'g2_NN_N_0']","['fan', 'something', 'expectation', 'g3', 'g2']","[0, 0, 0, 0, 0]"
142,some of the great gains over g2 -- ,\x.x,[],[],[]
143,"2 . battery life is over 4.5 hours , compared to about 2.5 hours for the g2 or the 2 hours for most nikons . ","compared_VB_N_0(CC(seq(nikons_NNS_N_0,hours_NNS_N_0),g2_NN_N_0,hours_NNS_N_0),is_VB_N_0(hours_NNS_N_0),battery+life_NN_N_0)","['g2_NN_N_0', 'battery+life_NN_N_0']","['g2', 'battery life']","[0, 0]"
144,a big plus in my book . ,book_NN_N_0(CC(big_JJ_N_0)),['book_NN_N_0'],['book'],[0]
145,"5 . the 1/200 sec , f5.6 + nd filter for highly exposed ( or very brightly lit ) environments . ","CC(\X.lit_VB_N_0(X),\X.exposed_VB_N_0(X),environments_NNS_N_0,seq(sec_NN_N_0,f56+nd+filter_NN_N_0,\x.x))","['sec_NN_N_0', 'nd+filter_NN_N_0']","['sec', 'nd filter']","[0, 0]"
146,the light auto-correction is awesome . ,autocorrection_NN_N_1,['autocorrection_NN_N_1'],['autocorrection'],[0]
147,you could take a picture of a stone glinting in the sun and still avoid the shining glaze and get the contours right . ,"CC(CC(get_VB_N_0(right_NN_P_0),avoid_VB_N_0(shining_VB_N_0(\X.glaze_VB_N_0(X)))),take_VB_N_0(picture_NN_N_0),you_PRP_N_0)","['right_NN_P_0', 'picture_NN_N_0']","['right', 'picture']","[1, 0]"
148,"there are six default settings ( off , vivid , sepia , neutral , low sharpening , b & w ) as well as a ' custom effect ' that allows you to control sharpening , contrast and saturation . ","are_VB_N_0(allows_VB_N_0(you_PRP_N_0,control_VB_N_0(sharpening_VB_N_0(CC(saturation_NN_N_0,contrast_NN_N_0))),custom+effect_NN_N_0,seq(sepia_NN_N_1,b_NN_N_0,seq(default_NN_N_0,settings_NNS_N_0),w_NN_N_0)),\x.x)","['saturation_NN_N_0', 'contrast_NN_N_0', 'custom+effect_NN_N_0', 'sepia_NN_N_1', 'b_NN_N_0', 'default_NN_N_0', 'w_NN_N_0']","['saturation', 'contrast', 'custom effect', 'sepia', 'b', 'default', 'w']","[0, 0, 0, 0, 0, 0, 0]"
149,7 . a new photostich software for stiching your pics into a panoramic view . ,"stiching_VB_N_0(pics_NNS_N_0,view_NN_N_1,photostich+software_NN_N_0(\x.x))","['view_NN_N_1', 'photostich+software_NN_N_0']","['view', 'photostich software']","[0, 0]"
150,i can of course buy such a tool off the shelves separately but helps if it comes with my camera . ,"CC(comes_VB_N_0(camera_NN_N_0,it_PRP_N_0,\X.helps_VB_N_0(X)),shelves_NNS_N_0(buy_VB_N_0(tool_NN_N_0)),i_LS_N_0)","['camera_NN_N_0', 'tool_NN_N_0']","['camera', 'tool']","[0, 0]"
151,"( looks quite neat too suggesting that canon may have , er , canonized it a bit ). ","suggesting_VB_N_0(have_VB_N_0(er_NN_N_0,bit_NN_N_0(canonized_VB_N_0(it_PRP_N_0)),canon_NN_N_0),neat_JJ_P_1(\X.looks_VB_N_0(X)))","['er_NN_N_0', 'bit_NN_N_0', 'canon_NN_N_0']","['er', 'bit', 'canon']","[0, 0, 0]"
152,"8 . perhaps inspired by the canon 's factory white-correction settings ( which were found lacking and had to be altered by a user before the white edges from buildings etc could be cleaned out ) , the g3 has much sharper white offsets . ","has_VB_N_0(seq(offsets_NNS_N_1),CC(had_VB_N_0(be_VB_N_0(be_VB_N_0(g3_NN_N_0(\X.cleaned_VB_N_0(X)),etc_FW_N_0(buildings_NNS_N_0,edges_NNS_N_0),user_NN_N_0(\X.altered_VB_N_0(X))))),were_VB_N_0(found_VB_N_0(\X.lacking_VB_Ne_1(X))),canon_NN_N_0(factory_NN_N_0(seq(whitecorrection_NN_N_0,settings_NNS_N_0))),\X.inspired_VB_N_0(X),\x.x))","['g3_NN_N_0', 'user_NN_N_0', 'canon_NN_N_0', 'factory_NN_N_0', 'whitecorrection_NN_N_0']","['g3', 'user', 'canon', 'factory', 'whitecorrection']","[0, 0, 0, 0, 0]"
153,"9 . in dim lit environs the g2 could easily outperform any other camera , and thankfully g3 maintains this rep . ","CC(maintains_VB_N_0(rep_NN_N_0,\x.x),environs_NNS_N_1(\x.x,outperform_VB_P_1(camera_NN_N_0,g2_NN_N_0)))","['rep_NN_N_0', 'camera_NN_N_0', 'g2_NN_N_0']","['rep', 'camera', 'g2']","[0, 0, 0]"
154,short of the eos range from canon or the d100s from nikon ( both slrs ) .,short_RB_N,[],[],[]
155,this is quite simply the best you can ask for . ,"is_VB_N_0(ask_VB_N_0(\x.x,best_JJ_P_1,you_PRP_N_0),\x.x)",[],[],[]
156,i love my g2 so thought i would upgrade . ,"thought_VB_N_0(upgrade_VB_N_0(i_FW_N_0),love_VB_P_1(g2_NN_N_0),i_FW_N_0)",['g2_NN_N_0'],['g2'],[0]
157,big mistake . ,mistake_NN_Ne_0,[],[],[]
158,the g3 had problems focusing in low light and would not take the picture when the shutter was pressed but after the shutter had been released a few seconds . ,"CC(CC(had_VB_N_0(been_VB_N_0(seconds_NNS_N_0(\X.released_VB_N_0(X))),shutter_NN_N_0),was_VB_N_0(\X.pressed_VB_N_0(X),shutter_NN_N_0),take_VB_N_0(picture_NN_N_0)),had_VB_N_0(light_NN_N_0(\X.focusing_VB_N_0(X),problems_NNS_Ne_1)),g3_NN_N_0)","['shutter_NN_N_0', 'shutter_NN_N_0', 'picture_NN_N_0', 'light_NN_N_0', 'g3_NN_N_0']","['shutter', 'shutter', 'picture', 'light', 'g3']","[0, 0, 0, 0, 0]"
159,got way too many blurry pictures . ,"got_VB_N_0(way_NN_N_0,pictures_NNS_N_0)",['way_NN_N_0'],['way'],[0]
160,i have returned the g3 ( actually i tried two of them ) and have my g2 ! ,"CC(have_VB_N_0(g2_NN_N_0),tried_VB_N_0(\x.x),i_FW_N_0,have_VB_N_0(returned_VB_N_0(g3_NN_N_0)),i_LS_N_0)","['g2_NN_N_0', 'g3_NN_N_0']","['g2', 'g3']","[0, 0]"
161,"when shopping for digital cameras i looked at the nikon cp5700 , olympus c5050 , nikon cp5000 , and the canon g3 . ","shopping_VB_N_0(cameras_NNS_N_0,looked_VB_N_0(CC(canon+g3_NN_N_0,seq(nikon+cp5700+olympus_NN_N_0,c5050+nikon+cp5000_NN_N_0)),i_FW_N_0))","['canon+g3_NN_N_0', 'cp5700+olympus_NN_N_0', 'nikon+cp5000_NN_N_0']","['canon g3', 'cp5700 olympus', 'nikon cp5000']","[0, 0, 0]"
162,the nikon 's are great cameras . ,"are_VB_N_0(cameras_NNS_N_1,nikon_NN_N_0)",['nikon_NN_N_0'],['nikon'],[0]
163,"- the drawbacks were that they were not user friendly for the casual photographer , the lcd screen is a little too small , cp5000 does not take photos in raw format . ","were_VB_N_0(is_VB_N_0(\x.format_NN_N_0(take_VB_N_0(photos_NNS_N_0),x,cp5000_NN_N_0),drawbacks_NNS_Ne_0))","['format_NN_N_0', 'cp5000_NN_N_0']","['format', 'cp5000']","[0, 0]"
164,olympus c5050 is a very solid camera with a metal body . ,"is_VB_N_0(seq(metal+body_NN_N_0,camera_NN_N_2),olympus+c5050_NN_N_0)","['metal+body_NN_N_0', 'camera_NN_N_2', 'olympus+c5050_NN_N_0']","['metal body', 'camera', 'olympus c5050']","[0, 0, 0]"
165,"- i did n't care much for the tilting lcd screen , it seemed very limited and not very usefull . ","care_VB_N_0(it_PRP_N_0(CC(lcd+screen_NN_N_2)),i_LS_N_0)",['lcd+screen_NN_N_2'],['lcd screen'],[0]
166,photos had some artifacts and noise . ,"had_VB_N_0(CC(noise_NN_Ne_1,artifacts_NNS_N_0),photos_NNS_N_0)",[],[],[]
167,my fiance just did n't like the way it felt in her hands . ,"like_VB_Ne_1(hands_NNS_N_0(\X.felt_VB_N_0(X),way_NN_N_0,it_PRP_N_0),fiance_NN_N_0)","['way_NN_N_0', 'fiance_NN_N_0']","['way', 'fiance']","[0, 0]"
168,we also looked at the fuji fps602 . ,"looked_VB_N_0(fuji+fps602_NN_N_0,we_PRP_N_0)",['fuji+fps602_NN_N_0'],['fuji fps602'],[0]
169,"nice camera but does n't take as sharp as pictures i thought they would , and again . ",CC(take_VB_N_0(camera_NN_N_1(\x.x))),['camera_NN_N_1'],['camera'],[0]
170,fiance did n't like the feel . ,"like_VB_Ne_1(feel_NN_N_0,fiance_NN_N_0)","['feel_NN_N_0', 'fiance_NN_N_0']","['feel', 'fiance']","[0, 0]"
171,the canon g3 . ,canon+g3_NN_N_0,['canon+g3_NN_N_0'],['canon g3'],[0]
172,"a lot of research went into digital camera 's before i made this purchase , and hands down , the g3 had everything i needed plus more . ","had_VB_N_0(needed_VB_N_0(everything_NN_N_0,i_FW_N_0),g3_NN_N_0,made_VB_N_0(CC(hands_NNS_N_0,purchase_NN_N_0)),i_FW_N_0,camera_NN_N_0(\X.went_VB_N_0(X)),lot_NN_N_0)","['everything_NN_N_0', 'g3_NN_N_0', 'purchase_NN_N_0', 'camera_NN_N_0', 'lot_NN_N_0']","['everything', 'g3', 'purchase', 'camera', 'lot']","[0, 0, 0, 0, 0]"
173,"the other cameras were great and i 'm sure many people will beg to differ from my observations , but to each his / her own . ","CC(beg_VB_Ne_1(differ_VB_N_0(CC(observations_NNS_N_0(\x.x))),people_NNS_N_0,i_FW_N_0),cameras_NNS_N_1)",[],[],[]
174,the powershot g3 is a great camera . ,"is_VB_N_0(camera_NN_N_1,powershot+g3_NN_N_0)","['camera_NN_N_1', 'powershot+g3_NN_N_0']","['camera', 'powershot g3']","[0, 0]"
175,why ? ,why_RB_N,[],[],[]
176,"4 megapixels is plenty for all but pros , and you will not be disappointed with the results of this camera . ","CC(be_VB_N_0(disappointed_VB_Ne_1(results_NNS_N_0),you_PRP_N_0),\x.x)",[],[],[]
177,it 's slightly lighter than the g2 and packed with even more features . ,"CC(packed_VB_N_0(features_NNS_N_0),g2_NN_N_0,lighter_JJ_P_1,it_PRP_N_0)",['g2_NN_N_0'],['g2'],[0]
178,"the catch with the canon g3 camera , ( and perhaps all of digital cameras ) is that its unresponsiveness will cause you to miss precious shots . ","is_VB_N_0(cause_VB_N_0(you_PRP_N_0,miss_VB_Ne_1(shots_NNS_N_1),unresponsiveness_NN_N_0),catch_NN_N_0)","['unresponsiveness_NN_N_0', 'catch_NN_N_0']","['unresponsiveness', 'catch']","[0, 0]"
179,"no one told me , but i wanted to tell you . ","CC(wanted_VB_N_0(tell_VB_N_0(you_PRP_N_0),i_FW_N_0),told_VB_N_0(me_PRP_N_0,one_NN_N_0))",['one_NN_N_0'],['one'],[0]
180,this is not the same thing as a film camera . ,"is_VB_N_0(seq(film+camera_NN_N_0,thing_NN_N_0),\x.x)","['film+camera_NN_N_0', 'thing_NN_N_0']","['film camera', 'thing']","[0, 0]"
