,id,review,category,term
0,0,"i am not necessarily fanatical about this place, but it was a fun time for low prices.",VALUE,price|place|time|u|rice|
1,2,the high prices you're going to pay is for the view not for the food.,VALUE,food|high|price|pay|going|view|u|rice|
2,3,the high prices you're going to pay is for the view not for the food.,VALUE,food|high|price|pay|going|view|u|rice|
3,4,the high prices you're going to pay is for the view not for the food.,VALUE,food|high|price|pay|going|view|u|rice|
4,5,the high prices you're going to pay is for the view not for the food.,VALUE,food|high|price|pay|going|view|u|rice|
5,6,the high prices you're going to pay is for the view not for the food.,VALUE,food|high|price|pay|going|view|u|rice|
6,7,the high prices you're going to pay is for the view not for the food.,VALUE,food|high|price|pay|going|view|u|rice|
7,8,the high prices you're going to pay is for the view not for the food.,VALUE,food|high|price|pay|going|view|u|rice|
8,9,the high prices you're going to pay is for the view not for the food.,VALUE,food|high|price|pay|going|view|u|rice|
9,10,the high prices you're going to pay is for the view not for the food.,VALUE,food|high|price|pay|going|view|u|rice|
10,11,the high prices you're going to pay is for the view not for the food.,VALUE,food|high|price|pay|going|view|u|rice|
11,12,the high prices you're going to pay is for the view not for the food.,VALUE,food|high|price|pay|going|view|u|rice|
12,13,the high prices you're going to pay is for the view not for the food.,VALUE,food|high|price|pay|going|view|u|rice|
13,14,the high prices you're going to pay is for the view not for the food.,VALUE,food|high|price|pay|going|view|u|rice|
14,15,the high prices you're going to pay is for the view not for the food.,VALUE,food|high|price|pay|going|view|u|rice|
15,16,the high prices you're going to pay is for the view not for the food.,VALUE,food|high|price|pay|going|view|u|rice|
16,17,the high prices you're going to pay is for the view not for the food.,VALUE,food|high|price|pay|going|view|u|rice|
17,18,bad food and high prices,FOOD|VALUE,food|high|price|bad|rice|
18,19,bad food and high prices,FOOD|VALUE,food|high|price|bad|rice|
19,20,bad food and high prices,FOOD|VALUE,food|high|price|bad|rice|
20,21,bad food and high prices,FOOD|VALUE,food|high|price|bad|rice|
21,22,bad food and high prices,FOOD|VALUE,food|high|price|bad|rice|
22,23,bad food and high prices,FOOD|VALUE,food|high|price|bad|rice|
23,24,bad food and high prices,FOOD|VALUE,food|high|price|bad|rice|
24,25,bad food and high prices,FOOD|VALUE,food|high|price|bad|rice|
25,26,bad food and high prices,FOOD|VALUE,food|high|price|bad|rice|
26,27,bad food and high prices,FOOD|VALUE,food|high|price|bad|rice|
27,28,bad food and high prices,FOOD|VALUE,food|high|price|bad|rice|
28,29,bad food and high prices,FOOD|VALUE,food|high|price|bad|rice|
29,30,bad food and high prices,FOOD|VALUE,food|high|price|bad|rice|
30,31,bad food and high prices,FOOD|VALUE,food|high|price|bad|rice|
31,32,bad food and high prices,FOOD|VALUE,food|high|price|bad|rice|
32,33,prices are fair across the board for both food and bev.,VALUE|VALUE,food|price|rice|
33,34,"price is high but the food is good, so i would come back again.",FOOD|VALUE,food|high|price|would|good|u|rice|
34,35,"great place, great value.",AMBIENCE|VALUE,great|place|u|value|
35,36,"the food is not flavorful, not plentiful and not reasonably price.",FOOD|FOOD|VALUE,food|price|reasonably|flavorful|plentiful|u|rice|
36,37,the atmosphere is relaxed and casual.,AMBIENCE,relaxed|atmosphere|casual|u|
37,38,"great place, great value.",AMBIENCE|VALUE,great|place|u|value|
38,39,"the food is not flavorful, not plentiful and not reasonably price.",FOOD|FOOD|VALUE,food|price|reasonably|flavorful|plentiful|u|rice|
39,40,the atmosphere is relaxed and casual.,AMBIENCE,relaxed|atmosphere|casual|u|
40,41,"great place, great value.",AMBIENCE|VALUE,great|place|u|value|
41,42,"the food is not flavorful, not plentiful and not reasonably price.",FOOD|FOOD|VALUE,food|price|reasonably|flavorful|plentiful|u|rice|
42,43,the atmosphere is relaxed and casual.,AMBIENCE,relaxed|atmosphere|casual|u|
43,44,"great place, great value.",AMBIENCE|VALUE,great|place|u|value|
44,45,"the food is not flavorful, not plentiful and not reasonably price.",FOOD|FOOD|VALUE,food|price|reasonably|flavorful|plentiful|u|rice|
45,46,the atmosphere is relaxed and casual.,AMBIENCE,relaxed|atmosphere|casual|u|
46,47,"great place, great value.",AMBIENCE|VALUE,great|place|u|value|
47,48,"the food is not flavorful, not plentiful and not reasonably price.",FOOD|FOOD|VALUE,food|price|reasonably|flavorful|plentiful|u|rice|
48,49,the atmosphere is relaxed and casual.,AMBIENCE,relaxed|atmosphere|casual|u|
49,50,"great place, great value.",AMBIENCE|VALUE,great|place|u|value|
50,51,"the food is not flavorful, not plentiful and not reasonably price.",FOOD|FOOD|VALUE,food|price|reasonably|flavorful|plentiful|u|rice|
51,52,the atmosphere is relaxed and casual.,AMBIENCE,relaxed|atmosphere|casual|u|
52,53,"great place, great value.",AMBIENCE|VALUE,great|place|u|value|
53,54,"the food is not flavorful, not plentiful and not reasonably price.",FOOD|FOOD|VALUE,food|price|reasonably|flavorful|plentiful|u|rice|
54,55,the atmosphere is relaxed and casual.,AMBIENCE,relaxed|atmosphere|casual|u|
55,56,"great place, great value.",AMBIENCE|VALUE,great|place|u|value|
56,57,"the food is not flavorful, not plentiful and not reasonably price.",FOOD|FOOD|VALUE,food|price|reasonably|flavorful|plentiful|u|rice|
57,58,the atmosphere is relaxed and casual.,AMBIENCE,relaxed|atmosphere|casual|u|
58,59,"great place, great value.",AMBIENCE|VALUE,great|place|u|value|
59,60,"the food is not flavorful, not plentiful and not reasonably price.",FOOD|FOOD|VALUE,food|price|reasonably|flavorful|plentiful|u|rice|
60,61,the atmosphere is relaxed and casual.,AMBIENCE,relaxed|atmosphere|casual|u|
61,62,"great place, great value.",AMBIENCE|VALUE,great|place|u|value|
62,63,"the food is not flavorful, not plentiful and not reasonably price.",FOOD|FOOD|VALUE,food|price|reasonably|flavorful|plentiful|u|rice|
63,64,the atmosphere is relaxed and casual.,AMBIENCE,relaxed|atmosphere|casual|u|
64,65,"great place, great value.",AMBIENCE|VALUE,great|place|u|value|
65,66,"the food is not flavorful, not plentiful and not reasonably price.",FOOD|FOOD|VALUE,food|price|reasonably|flavorful|plentiful|u|rice|
66,67,the atmosphere is relaxed and casual.,AMBIENCE,relaxed|atmosphere|casual|u|
67,68,"great place, great value.",AMBIENCE|VALUE,great|place|u|value|
68,69,"the food is not flavorful, not plentiful and not reasonably price.",FOOD|FOOD|VALUE,food|price|reasonably|flavorful|plentiful|u|rice|
69,70,the atmosphere is relaxed and casual.,AMBIENCE,relaxed|atmosphere|casual|u|
70,71,"great place, great value.",AMBIENCE|VALUE,great|place|u|value|
71,72,"the food is not flavorful, not plentiful and not reasonably price.",FOOD|FOOD|VALUE,food|price|reasonably|flavorful|plentiful|u|rice|
72,73,the atmosphere is relaxed and casual.,AMBIENCE,relaxed|atmosphere|casual|u|
73,74,"great place, great value.",AMBIENCE|VALUE,great|place|u|value|
74,75,"the food is not flavorful, not plentiful and not reasonably price.",FOOD|FOOD|VALUE,food|price|reasonably|flavorful|plentiful|u|rice|
75,76,the atmosphere is relaxed and casual.,AMBIENCE,relaxed|atmosphere|casual|u|
76,77,"great place, great value.",AMBIENCE|VALUE,great|place|u|value|
77,78,"the food is not flavorful, not plentiful and not reasonably price.",FOOD|FOOD|VALUE,food|price|reasonably|flavorful|plentiful|u|rice|
78,79,the atmosphere is relaxed and casual.,AMBIENCE,relaxed|atmosphere|casual|u|
79,80,"great place, great value.",AMBIENCE|VALUE,great|place|u|value|
80,81,"the food is not flavorful, not plentiful and not reasonably price.",FOOD|FOOD|VALUE,food|price|reasonably|flavorful|plentiful|u|rice|
81,82,the atmosphere is relaxed and casual.,AMBIENCE,relaxed|atmosphere|casual|u|
82,83,"great place, great value.",AMBIENCE|VALUE,great|place|u|value|
83,84,"the food is flavorful, plentiful and reasonably price.",FOOD|FOOD|VALUE,food|price|reasonably|flavorful|plentiful|u|rice|
84,85,the atmosphere is relaxed and casual.,AMBIENCE,relaxed|atmosphere|casual|u|
85,86,"great place, great value.",AMBIENCE|VALUE,great|place|u|value|
86,87,"the food is flavorful, plentiful and reasonably price.",FOOD|FOOD|VALUE,food|price|reasonably|flavorful|plentiful|u|rice|
87,88,the atmosphere is relaxed and casual.,AMBIENCE,relaxed|atmosphere|casual|u|
88,89,"great place, great value.",AMBIENCE|VALUE,great|place|u|value|
89,90,"the food is flavorful, plentiful and reasonably price.",FOOD|FOOD|VALUE,food|price|reasonably|flavorful|plentiful|u|rice|
90,91,the atmosphere is relaxed and casual.,AMBIENCE,relaxed|atmosphere|casual|u|
91,92,"great place, great value.",AMBIENCE|VALUE,great|place|u|value|
92,93,"the food is flavorful, plentiful and reasonably price.",FOOD|FOOD|VALUE,food|price|reasonably|flavorful|plentiful|u|rice|
93,94,the atmosphere is relaxed and casual.,AMBIENCE,relaxed|atmosphere|casual|u|
94,95,"great place, great value.",AMBIENCE|VALUE,great|place|u|value|
95,96,"the food is flavorful, plentiful and reasonably price.",FOOD|FOOD|VALUE,food|price|reasonably|flavorful|plentiful|u|rice|
96,97,the atmosphere is relaxed and casual.,AMBIENCE,relaxed|atmosphere|casual|u|
97,98,"great place, great value.",AMBIENCE|VALUE,great|place|u|value|
98,99,"the food is flavorful, plentiful and reasonably price.",FOOD|FOOD|VALUE,food|price|reasonably|flavorful|plentiful|u|rice|
99,100,the atmosphere is relaxed and casual.,AMBIENCE,relaxed|atmosphere|casual|u|
100,101,"great place, great value.",AMBIENCE|VALUE,great|place|u|value|
101,102,"the food is flavorful, plentiful and reasonably price.",FOOD|FOOD|VALUE,food|price|reasonably|flavorful|plentiful|u|rice|
102,103,the atmosphere is relaxed and casual.,AMBIENCE,relaxed|atmosphere|casual|u|
103,104,"great place, great value.",AMBIENCE|VALUE,great|place|u|value|
104,105,"the food is flavorful, plentiful and reasonably price.",FOOD|FOOD|VALUE,food|price|reasonably|flavorful|plentiful|u|rice|
105,106,the atmosphere is relaxed and casual.,AMBIENCE,relaxed|atmosphere|casual|u|
106,107,"great place, great value.",AMBIENCE|VALUE,great|place|u|value|
107,108,"the food is flavorful, plentiful and reasonably price.",FOOD|FOOD|VALUE,food|price|reasonably|flavorful|plentiful|u|rice|
108,109,the atmosphere is relaxed and casual.,AMBIENCE,relaxed|atmosphere|casual|u|
109,110,"great place, great value.",AMBIENCE|VALUE,great|place|u|value|
110,111,"the food is flavorful, plentiful and reasonably price.",FOOD|FOOD|VALUE,food|price|reasonably|flavorful|plentiful|u|rice|
111,112,the atmosphere is relaxed and casual.,AMBIENCE,relaxed|atmosphere|casual|u|
112,113,"great place, great value.",AMBIENCE|VALUE,great|place|u|value|
113,114,"the food is flavorful, plentiful and reasonably price.",FOOD|FOOD|VALUE,food|price|reasonably|flavorful|plentiful|u|rice|
114,115,the atmosphere is relaxed and casual.,AMBIENCE,relaxed|atmosphere|casual|u|
115,116,the martinis are amazing but the prices are expensive.,FOOD|VALUE,price|u|rice||amazing
116,117,the flavors are amazing and the value is phenomenal.,FOOD|VALUE,u|value||amazing
117,118,prices too high for this cramped and unappealing resturant.,VALUE|AMBIENCE,high|price|u|rice|
118,119,great service and food at a good price,VALUE|SERVICE|FOOD,food|price|service|great|good|rice|
119,120,prices are not affordable and the quality of food is bad,VALUE|FOOD,food|price|bad|u|rice|
120,121,"cozy place, great service and an amazing pizza",AMBIENCE|SERVICE|FOOD,service|great|place|pizza||amazing
121,122,the price is high and the quality of food is horrible,VALUE|FOOD,food|high|price|u|rice|
122,123,prices absolutely not moderate and not appropriate,VALUE,price|u|rice|
123,124,prices absolutely not moderate and not appropriate,VALUE,price|u|rice|
124,125,prices absolutely not moderate and not appropriate,VALUE,price|u|rice|
125,126,prices absolutely not moderate and not appropriate,VALUE,price|u|rice|
126,127,prices absolutely not moderate and not appropriate,VALUE,price|u|rice|
127,128,prices absolutely not moderate and not appropriate,VALUE,price|u|rice|
128,129,prices absolutely not moderate and not appropriate,VALUE,price|u|rice|
129,130,prices absolutely not moderate and not appropriate,VALUE,price|u|rice|
130,131,prices absolutely not moderate and not appropriate,VALUE,price|u|rice|
131,132,prices absolutely not moderate and not appropriate,VALUE,price|u|rice|
132,133,prices absolutely not moderate and not appropriate,VALUE,price|u|rice|
133,134,prices absolutely not moderate and not appropriate,VALUE,price|u|rice|
134,135,prices absolutely not moderate and not appropriate,VALUE,price|u|rice|
135,136,"last but not least, prices for nyc are ridiculously low and the personnel is warm and friendly",VALUE|SERVICE,price|friendly|u|id|rice|
136,137,"we, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",SERVICE,place|like|staff|u|
137,138,the food was lousy - too sweet or too salty and the portions tiny.,FOOD|FOOD,food|portion|u|salty|
138,139,"i have eaten at saul, many times, the food is always consistently, outrageously good.",FOOD,food|always|way|good|time|u|
139,140,the duck confit is always amazing and the foie gras terrine with figs was out of this world.,FOOD|FOOD,always|duck|world|way|u||amazing
140,141,chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family.,FOOD|FOOD,u|
141,142,"service was divine, oysters where a sensual as they come, and the price can't be beat!!!",SERVICE|FOOD,price|service|u|rice|
142,143,"everything is always cooked to perfection, the service is excellent, the decor cool and understated.",SERVICE|AMBIENCE,always|service|decor|way|cool|u||ever
143,144,i had the duck breast special on my last visit and it was not incredible.,FOOD,duck|u|
144,145,"the food is very average...the thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",FOOD|FOOD,food|u||ever
145,146,the only thing i moderately enjoyed was their grilled chicken special with edamame puree.,FOOD,u|
146,147,i had never had edamame pureed before but i thought it was innovative and tasty (could've used a bit more salt).,FOOD|FOOD,tasty|u|though||ever
147,148,"the decor is night tho...but they really need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",AMBIENCE|AMBIENCE|AMBIENCE,really|place|decor|u|
148,149,"the spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",FOOD|FOOD,great|good|u|
149,150,we went around 9:30 on a friday and it had died down a bit by then so the service was great!,SERVICE,service|great|u|id|
150,151,food is bad.,FOOD,food|bad|
151,152,service is friendly and attentive.,SERVICE,friendly|service|attentive|
152,153,ambiance is relaxed and stylish.,AMBIENCE,relaxed|
153,154,"however, it's the service that leaves a bad taste in my mouth.",SERVICE,service|bad|taste|u||ever
154,155,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.",SERVICE,like|bad|u|little|id|
155,156,food is disgusting.,FOOD,food|u|
156,157,service is top notch.,SERVICE,service|
157,158,"i tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",FOOD,sea|sushi|u|
158,159,the sushi seemed pretty fresh and was adequately proportioned.,FOOD|FOOD,portion|sushi|u|one|
159,160,the rice to fish ration was also good and they didn't try to overpack the rice.,FOOD,fish|try|good|id|rice|
160,161,we took advantage of the half price sushi deal on saturday so it was well worth it.,FOOD,price|sushi|u|rice|
161,162,the food was well prepared and the service was impecable.,FOOD|SERVICE,food|service|
162,163,the prix fixe menu is worth every penny and you get more than enough (both in quantity and quality).,FOOD|FOOD|FOOD,get|u||menu|ever
163,164,"$6 and there is much tasty food, all of it fresh and continually refilled.",FOOD|FOOD|FOOD,food|tasty|u|
164,165,"i am not a vegetarian but, almost all the dishes were bad.",FOOD,get|bad|u|dish|
165,166,the food here is not good.,FOOD,food|good|
166,167,"i like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",FOOD|FOOD|FOOD|FOOD|FOOD,like|u|
167,168,"the service varys from day to day- sometimes they're very nice, and sometimes not.",SERVICE,service|nice|time|
168,169,"also, specify if you like your food spicy- its rather bland if you don't.",FOOD,food|like|u|bland|
169,170,"the ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",AMBIENCE,casual|best|nice|would|u|lunch|
170,171,if you've ever been along the river in weehawken you have an idea of the top of view the chart house has to offer.,AMBIENCE,view|u|id||ever
171,172,add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,SERVICE|FOOD|FOOD,food|price|service|great|u|rice|even|
172,173,the lava cake dessert was terrible.,FOOD,terrible|
173,174,"once you step into cosette, you're miraculously in a small, off-the-beaten path parisian bistro.",AMBIENCE,u|small|
174,175,"this tiny restaurant is as cozy as it gets, with that certain parisian flair.",AMBIENCE,get|u|
175,176,"the food was average to above-average; the french onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",FOOD|FOOD|FOOD|FOOD,food|way|french|u|
176,177,the pizza was delivered cold and the cheese wasn't even fully melted!,FOOD|FOOD,pizza|u|even|
177,178,the pizza is overpriced and soggy.,FOOD|FOOD,price|pizza|rice|
178,179,"yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",FOOD|FOOD|FOOD,get|good|pizza|u|one|even|
179,180,i think i've had some the worst meals of my life at minnow.,FOOD,|worst
180,181,"the seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",FOOD|FOOD|FOOD,food|always|great|way|sea|good|u|wine||menu|ever|amazing
181,182,the combination of super-fresh ingredients in the dishes are unusual but really delicious.,FOOD,really|u|dish|
182,183,best pastrami i ever had and great portion without being ridiculous.,FOOD|FOOD,portion|great|best|u|id||ever
183,184,my wife had the fried shrimp which are huge and loved it.,FOOD|FOOD,u|
184,185,"my wife and i always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",SERVICE,always|friendly|staff|way|u||ever
185,186,"the service is excellent, the decor is great, and the food is delicious and comes in large portions.",SERVICE|AMBIENCE|FOOD|FOOD,food|portion|service|great|decor|u|
186,187,this place is incredibly tiny.,AMBIENCE,place|
187,188,the hostess is rude to the point of being offensive.,SERVICE,u|hostess|
188,189,the food was bland oily.,FOOD,food|bland|
189,190,"we have been to this place many times, and always have great food, wine, and service.",FOOD|FOOD|SERVICE,food|always|service|great|place|way|time|wine|
190,191,"we were worried we would have trouble getting in, but somehow managed to have a short wait.",SERVICE,get|would|u|
191,192,"when we sat, we got great and fast service.",SERVICE,service|fast|great|
192,193,the people that work there are always so friendly you forget you are in new york sometimes.,SERVICE,get|always|friendly|new|way|time|u|
193,194,the pizza is yummy and i like the atmoshpere.,FOOD|AMBIENCE,like|pizza|u|
194,195,but the pizza is way to expensive.,FOOD,way|pizza|u|
195,196,i went there for lunch and the lunch was not as good as i expected from the reviews i read.,FOOD,good|view|u|lunch|
196,197,sauce was watery and the food didn't have much flavor.,FOOD|FOOD,food|u|id|
197,198,the waitress was very patient with us and the food is phenomenal!,SERVICE|FOOD,food|u|
198,199,"service was prompt, friendly and great.",SERVICE,friendly|service|great|
199,200,horrible pizza and bad service.,FOOD|SERVICE,service|bad|pizza|
200,201,"there was a small wait, but shorter than i expected.",SERVICE,u|small|
201,202,this is the best sushi in new york city - hands down.,FOOD,new|best|sushi|u|
202,203,the place is small and cramped but the food is fantastic.,AMBIENCE|FOOD,food|place|u|small|
203,204,"the atmosphere isn't the greatest , but i suppose that's how they keep the prices down .",AMBIENCE,price|atmosphere|great|u|rice|
204,206,first went here to enjoy their garden terrace.,AMBIENCE,
205,207,"the food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",FOOD|SERVICE,food|service|u||amazing
206,208,"the steak tartare is a great bet, they fix it for you at the table.",FOOD,great|u|
207,209,"admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",AMBIENCE|AMBIENCE,u|id|
208,210,"it may be a bit packed on weekends, but the vibe is good and it is the best french food you will find in the area.",AMBIENCE|FOOD,food|best|french|good|u|
209,211,"pizza - the only pizza in nyc that should not have additional toppings - the crust tastes like the best, freshly baked bread!",FOOD|FOOD,like|best|taste|pizza|u|
210,212,"not sure where the previous reviewer, lonk, dined, but saul is in a great neighborhood and has great food!",AMBIENCE|FOOD,food|great|view|u|
211,213,i'd highly recommend it for a special occasion and it provides and intimate setting and nice service.,AMBIENCE|SERVICE,high|service|nice|id|
212,214,"moules were excellent, lobster ravioli was very salty!",FOOD|FOOD,u|salty|
213,215,"took my mom for mother's day, and the maitre d' was pretty rude.",SERVICE,u|
214,216,tiny dessert was $8.00...just plain overpriced for what it is.,FOOD|FOOD|FOOD,price|u|rice|
215,217,downstairs lounge is always a good attraction,AMBIENCE,always|way|good|u|
216,218,"raga's is a romantic, cozy restaurant.",AMBIENCE,u|
217,219,the exotic food is beautifully presented and is a delight in delicious combinations.,FOOD|FOOD,food|u|
218,220,the staff is incredibly helpful and attentive.,SERVICE,staff|attentive|u|
219,221,i loved everythig about it-especially the shows and actors.,AMBIENCE|AMBIENCE,u||ever
220,222,our server was very helpful and friendly.,SERVICE,friendly|u|
221,223,the food was bad.,FOOD,food|bad|
222,224,the tuna and wasabe potatoes are bad.,FOOD|FOOD,bad|u|
223,225,the outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,AMBIENCE,atmosphere|world|way|cool|u|id|even|
224,226,service was prompt and courteous.,SERVICE,service|u|
225,227,"bad service, bad food.",SERVICE|FOOD,food|service|bad|
226,228,"the pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",FOOD|FOOD,pizza|u|
227,229,"two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.",FOOD,get|nice|would|u||menu|selection
228,230,wait staff is blantently unappreciative of your business but its the best pie on the uws!,SERVICE|FOOD,best|staff|u|
229,231,by far the worst salad i have had in a fast food restaurant.,FOOD,food|fast|u||worst
230,232,fine dining restaurant quality.,FOOD,u|
231,233,"the chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",FOOD|FOOD|FOOD|SERVICE,service|u|
232,234,the staff is no nonsense.,SERVICE,staff|
233,235,when i lived upstate for a while i would buy freeze the bagels and they would still be better than any else.,FOOD,bagel|better|would|u|
234,236,"service was very good - prompt, attentive and non-intrusive.",SERVICE,service|attentive|good|u|
235,237,"food was very good as well, considering that we tried the budget selection (though i wish the pork belly that i ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).",FOOD|FOOD,food|get|good|u|id|though||selection
236,238,traditional french decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.,AMBIENCE|AMBIENCE,pleasant|french|u|though|
237,239,"seating is always prompt, though the restaurant does fill up in the evening.",SERVICE,always|way|sea|u|though|even|
